,pl,be,uk,ru,bg,sl,cs
0,Międzynarodowa Unia Astronomiczna,IAU,Міжнародний астрономічний союз,Международный астрономический союз,Международен астрономически съюз,Mednarodna astronomska zveza,Mezinárodní astronomická unie
1,Międzynarodowa Unia Astronomiczna,Міжнародны астранамічны саюз,Міжнародний астрономічний союз,Международный астрономический союз,Международен астрономически съюз,Mednarodna astronomska zveza,Mezinárodní astronomická unie
2,NATO,Арганізацыя Паўночна-Атлантычнай Дамовы,НАТО,НАТО,НАТО,NATO,Severoatlantická aliance
3,NATO,НАТА,НАТО,НАТО,НАТО,NATO,Severoatlantická aliance
4,Europejskie Obserwatorium Południowe,Еўрапейская паўднёвая абсерваторыя,Європейська південна обсерваторія,Европейская южная обсерватория,Европейска южна обсерватория,Evropski južni observatorij,Evropská jižní observatoř
5,Europejskie Obserwatorium Południowe,ESO,Європейська південна обсерваторія,Европейская южная обсерватория,Европейска южна обсерватория,Evropski južni observatorij,Evropská jižní observatoř
6,Światowa Organizacja Zdrowia,Сусветная арганізацыя аховы здароўя,Всесвітня організація охорони здоров'я,Всемирная организация здравоохранения,Световна здравна организация,Svetovna zdravstvena organizacija,Světová zdravotnická organizace
7,NATO,NATO,НАТО,НАТО,НАТО,NATO,Severoatlantická aliance
8,Światowa Organizacja Handlu,Сусветная гандлёвая арганізацыя,Світова організація торгівлі,Всемирная торговая организация,Световна търговска организация,Svetovna trgovinska organizacija,Světová obchodní organizace
9,Tamilskie Tygrysy,Тыгры вызвалення Таміл-Ілама,Тигри визволення Таміл-Іламу,Тигры освобождения Тамил-Илама,Тигри за освобождение на Тамил Илам,Osvobodilni tigri Tamilskega Eelama,Tygři osvobození tamilského Ílamu
10,Moskiewski Uniwersytet Państwowy im. M.W. Łomonosowa,Маскоўскі дзяржаўны ўніверсітэт імя М. В. Ламаносава,Московський державний університет імені М. В. Ломоносова,Московский государственный университет,Московски държавен университет,Državna univerza v Moskvi,Lomonosovova univerzita
11,Międzynarodowa Unia Chemii Czystej i Stosowanej,Міжнародны саюз тэарэтычнай і прыкладной хіміі,IUPAC,Международный союз теоретической и прикладной химии,Международен съюз за чиста и приложна химия,Mednarodna zveza za čisto in uporabno kemijo,Mezinárodní unie pro čistou a užitou chemii
12,Beneluks,Бенілюкс,Бенілюкс,Бенилюкс,Бенелюкс,Beneluks,Benelux
13,Organizacja Narodów Zjednoczonych,Арганізацыя Аб’яднаных Нацый,Організація Об'єднаних Націй,Организация Объединённых Наций,Организация на обединените нации,Organizacija združenih narodov,Organizace spojených národů
14,Organizacja Narodów Zjednoczonych,ААН,Організація Об'єднаних Націй,Организация Объединённых Наций,Организация на обединените нации,Organizacija združenih narodov,Organizace spojených národů
15,UNESCO,ЮНЭСКА,ЮНЕСКО,ЮНЕСКО,ЮНЕСКО,"Organizacija Združenih narodov za izobraževanje, znanost in kulturo",UNESCO
16,UNESCO,ЮНЕСКА,ЮНЕСКО,ЮНЕСКО,ЮНЕСКО,"Organizacija Združenih narodov za izobraževanje, znanost in kulturo",UNESCO
17,General Motors,GMC,General Motors,General Motors,Дженеръл Мотърс,General Motors,General Motors
18,General Motors,General Motors,General Motors,General Motors,Дженеръл Мотърс,General Motors,General Motors
19,Młoda Bośnia,Млада Босна,Млада Босна,Млада Босна,Млада Босна,Mlada Bosna,Mladá Bosna
20,Istituto Nazionale di Statistica,Код ISTAT,Національний інститут статистики Італії,ISTAT,Национален институт по статистика (Италия),Istituto Nazionale di Statistica,Italský národní statistický institut
21,Istituto Nazionale di Statistica,ISTAT,Національний інститут статистики Італії,ISTAT,Национален институт по статистика (Италия),Istituto Nazionale di Statistica,Italský národní statistický institut
22,UNESCO,"Арганізацыя Аб'яднаных Нацый па пытаннях адукацыі, навукі і культуры",ЮНЕСКО,ЮНЕСКО,ЮНЕСКО,"Organizacija Združenih narodov za izobraževanje, znanost in kulturo",UNESCO
23,Organizacja Narodów Zjednoczonych,Арганізацыя аб'яднаных нацый,Організація Об'єднаних Націй,Организация Объединённых Наций,Организация на обединените нации,Organizacija združenih narodov,Organizace spojených národů
24,G7 (grupa),Вялікая сямёрка,G7,Большая семёрка,Г-7,G7,G7
25,G7 (grupa),Вялікая Васьмёрка,G7,Большая семёрка,Г-7,G7,G7
26,G7 (grupa),G8,G7,Большая семёрка,Г-7,G7,G7
27,Międzynarodowy Fundusz Walutowy,МВФ,Міжнародний валютний фонд,Международный валютный фонд,Международен валутен фонд,Mednarodni denarni sklad,Mezinárodní měnový fond
28,Międzynarodowy Fundusz Walutowy,Міжнародны валютны фонд,Міжнародний валютний фонд,Международный валютный фонд,Международен валутен фонд,Mednarodni denarni sklad,Mezinárodní měnový fond
29,Unia Afrykańska,Афрыканскі саюз,Африканський Союз,Африканский союз,Африкански съюз,Afriška unija,Africká unie
30,Unia Afrykańska,Афрыканскі Саюз,Африканський Союз,Африканский союз,Африкански съюз,Afriška unija,Africká unie
31,Liga Państw Arabskich,Ліга арабскіх дзяржаў,Ліга арабських держав,Лига арабских государств,Лига на арабските държави,Arabska liga,Liga arabských států
32,Wikimedia Foundation,Фонд Вікімедыя,Фонд Вікімедіа,Фонд Викимедиа,Уикимедия,Fundacija Wikimedia,Nadace Wikimedia
33,Organizacja Układu o Bezpieczeństwie Zbiorowym,Арганізацыя Дагавора аб калектыўнай бяспецы,Організація договору про колективну безпеку,Организация Договора о коллективной безопасности,Организация на Договора за колективна сигурност,Organizacija dogovora o skupni varnosti,Organizace Smlouvy o kolektivní bezpečnosti
34,Organizacja Układu o Bezpieczeństwie Zbiorowym,АДКБ,Організація договору про колективну безпеку,Организация Договора о коллективной безопасности,Организация на Договора за колективна сигурност,Organizacija dogovora o skupni varnosti,Organizace Smlouvy o kolektivní bezpečnosti
35,Stowarzyszenie Narodów Azji Południowo-Wschodniej,Асацыяцыя дзяржаў Паўднёва-Усходняй Азіі,Асоціація держав Південно-Східної Азії,Ассоциация государств Юго-Восточной Азии,Асоциация на страните от Югоизточна Азия,Zveza držav Jugovzhodne Azije,Sdružení národů jihovýchodní Asie
36,Amnesty International,Amnesty International,Amnesty International,Amnesty International,Амнести Интернешънъл,Amnesty International,Amnesty International
37,NATO,Арганізацыя Паўночнаатлантычнага дагавора,НАТО,НАТО,НАТО,NATO,Severoatlantická aliance
38,Ku Klux Klan,Ку-клукс-клан,Ку-клукс-клан,Ку-клукс-клан,Ку-клукс-клан,Kukluksklan,Ku-klux-klan
39,Integrated Taxonomic Information System,Аб’яднаная таксанамічная інфармацыйная служба,Інтегрована система таксономічної інформації,Объединённая таксономическая информационная служба,Обединена система за таксономична информация,Integrirani taksonomski informacijski sistem,Integrated Taxonomic Information System
40,Integrated Taxonomic Information System,ITIS,Інтегрована система таксономічної інформації,Объединённая таксономическая информационная служба,Обединена система за таксономична информация,Integrirani taksonomski informacijski sistem,Integrated Taxonomic Information System
41,National Center for Biotechnology Information,Нацыянальны цэнтр біятэхналагічнай інфармацыі ЗША,Національний центр біотехнологічної інформації,Национальный центр биотехнологической информации,Национален център за биотехнологична информация на САЩ,Nacionalni center za biotehnološke informacije,National Center for Biotechnology Information
42,National Center for Biotechnology Information,NCBI,Національний центр біотехнологічної інформації,Национальный центр биотехнологической информации,Национален център за биотехнологична информация на САЩ,Nacionalni center za biotehnološke informacije,National Center for Biotechnology Information
43,National Center for Biotechnology Information,Нацыянальны цэнтр біятэхналагічнай інфармацыі,Національний центр біотехнологічної інформації,Национальный центр биотехнологической информации,Национален център за биотехнологична информация на САЩ,Nacionalni center za biotehnološke informacije,National Center for Biotechnology Information
44,Europejski Bank Centralny,Еўрапейскі цэнтральны банк,Європейський центральний банк,Европейский центральный банк,Европейска централна банка,Evropska centralna banka,Evropská centrální banka
45,Międzynarodówka Komunistyczna,Камуністычны інтэрнацыянал,Комуністичний інтернаціонал,Коммунистический интернационал,Комунистически интернационал,Kominterna,Kominterna
46,Międzynarodowa Komisja Elektrotechniczna,Міжнародная камісія электрасувязі,Міжнародна електротехнічна комісія,Международная электротехническая комиссия,IEC,Mednarodna komisija za elektrotehniko,Mezinárodní elektrotechnická komise
47,Międzynarodówka Komunistyczna,Камінтэрн,Комуністичний інтернаціонал,Коммунистический интернационал,Комунистически интернационал,Kominterna,Kominterna
48,Międzynarodowa Organizacja Normalizacyjna,ISO,Міжнародна організація зі стандартизації,Международная организация по стандартизации,Международна организация по стандартизация,Mednarodna organizacija za standardizacijo,Mezinárodní organizace pro normalizaci
49,UNESCO,UNESCO,ЮНЕСКО,ЮНЕСКО,ЮНЕСКО,"Organizacija Združenih narodov za izobraževanje, znanost in kulturo",UNESCO
50,Unia Zachodnioeuropejska,Заходне-Еўрапейскі саюз,Західноєвропейський союз,Западноевропейский союз,Западноевропейски съюз,Zahodnoevropska unija,Západoevropská unie
51,Układ z Schengen,Шэнгенскае пагадненне,Шенгенська угода,Шенгенское соглашение,Шенгенско споразумение,Schengenski sporazum,Schengenská smlouva
52,Wikimedia Foundation,Вікімедыя,Фонд Вікімедіа,Фонд Викимедиа,Уикимедия,Fundacija Wikimedia,Nadace Wikimedia
53,Wspólnota Narodów,Садружнасць нацый,Співдружність націй,Содружество наций,Общност на нациите,Skupnost narodov,Commonwealth
54,Wspólnota Narodów,Брытанская Садружнасць нацый,Співдружність націй,Содружество наций,Общност на нациите,Skupnost narodov,Commonwealth
55,Wspólnota Narodów,Брытанская садружнасць нацый,Співдружність націй,Содружество наций,Общност на нациите,Skupnost narodov,Commonwealth
56,Wspólnota Narodów,Садружнасць Нацый,Співдружність націй,Содружество наций,Общност на нациите,Skupnost narodov,Commonwealth
57,Moskiewski Uniwersytet Państwowy im. M.W. Łomonosowa,МДУ,Московський державний університет імені М. В. Ломоносова,Московский государственный университет,Московски държавен университет,Državna univerza v Moskvi,Lomonosovova univerzita
58,Światowa Organizacja Zdrowia,САЗ,Всесвітня організація охорони здоров'я,Всемирная организация здравоохранения,Световна здравна организация,Svetovna zdravstvena organizacija,Světová zdravotnická organizace
59,Lekarze bez Granic,Урачы без межаў,Лікарі без кордонів,Врачи без границ,Лекари без граници,Zdravniki brez meja,Lékaři bez hranic
60,Międzynarodowa Komisja Elektrotechniczna,Міжнародная электратэхнічная камісія,Міжнародна електротехнічна комісія,Международная электротехническая комиссия,IEC,Mednarodna komisija za elektrotehniko,Mezinárodní elektrotechnická komise
61,Moskiewski Uniwersytet Państwowy im. M.W. Łomonosowa,Маскоўскі дзяржаўны універсітэт імя М. В. Ламаносава,Московський державний університет імені М. В. Ломоносова,Московский государственный университет,Московски държавен университет,Državna univerza v Moskvi,Lomonosovova univerzita
62,Światowa Organizacja Handlu,Сусветная Гандлёвая Арганізацыя,Світова організація торгівлі,Всемирная торговая организация,Световна търговска организация,Svetovna trgovinska organizacija,Světová obchodní organizace
63,Liga Narodów,Ліга Нацый,Ліга Націй,Лига Наций,Общество на народите,Društvo narodov,Společnost národů
64,Międzynarodowa Agencja Energii Atomowej,Міжнароднае агенцтва па атамнай энергіі,Міжнародне агентство з атомної енергії,Международное агентство по атомной энергии,Международна агенция за атомна енергия,Mednarodna agencija za jedrsko energijo,Mezinárodní agentura pro atomovou energii
65,Międzynarodowe Stałe Biuro Pokoju,Міжнароднае бюро міру,Міжнародне бюро миру,Международное бюро мира,Международно бюро за мир,Mednarodni mirovni biro,Stálý mezinárodní výbor míru
66,Rada Gospodarcza i Społeczna ONZ,Эканамічны і сацыяльны савет ААН,Економічна і соціальна рада ООН,Экономический и Социальный Совет ООН,Икономически и социален съвет на ООН,Ekonomski in socialni svet,Ekonomická a sociální rada OSN
67,Fundusz Narodów Zjednoczonych na rzecz Dzieci,Дзіцячы фонд ААН,ЮНІСЕФ,ЮНИСЕФ,УНИЦЕФ,Sklad Združenih narodov za otroke,Dětský fond Organizace spojených národů
68,Fundusz Narodów Zjednoczonych na rzecz Dzieci,ЮНІСЕФ,ЮНІСЕФ,ЮНИСЕФ,УНИЦЕФ,Sklad Združenih narodov za otroke,Dětský fond Organizace spojených národů
69,Wysoki komisarz Narodów Zjednoczonych do spraw uchodźców,Упраўленне Вярхоўнага камісара Арганізацыі Аб’яднаных Нацый па справах бежанцаў,Управління Верховного комісара ООН у справах біженців,Управление Верховного комиссара ООН по делам беженцев,Върховен комисариат на ООН за бежанците,Visoki komisariat Združenih narodov za begunce,Úřad Vysokého komisaře OSN pro uprchlíky
70,Lekarze Przeciw Wojnie Nuklearnej,Урачы свету за прадухіленне ядзернай вайны,Лікарі світу за запобігання ядерної війни,Врачи мира за предотвращение ядерной войны,Лекарите в света за предотвратяване на ядрената война,Mednarodno združenje zdravnikov za preprečitev jedrske vojne,Lékaři proti jaderné válce
71,Rada Gospodarcza i Społeczna ONZ,ЭКАСАС,Економічна і соціальна рада ООН,Экономический и Социальный Совет ООН,Икономически и социален съвет на ООН,Ekonomski in socialni svet,Ekonomická a sociální rada OSN
72,Royal Society,Лонданскае каралеўскае таварыства,Лондонське королівське товариство,Лондонское королевское общество,Британско кралско научно дружество,Kraljeva družba,Královská společnost
73,Royal Society,Каралеўскае таварыства,Лондонське королівське товариство,Лондонское королевское общество,Британско кралско научно дружество,Kraljeva družba,Královská společnost
74,Międzynarodowa Kampania na rzecz Zakazu Min Przeciwpiechotnych,Міжнародны рух за забарону супрацьпяхотных мін,Міжнародний рух за заборону протипіхотних мін,Международное движение за запрещение противопехотных мин,Международна кампания за забрана на противопехотните мини,Mednarodna kampanja za prepoved protipehotnih min,Mezinárodní kampaň za zákaz nášlapných min
75,Konferencja Pugwash w Sprawie Nauki i Problemów Światowych,Пагуошскі рух навукоўцаў,Пагвоський рух учених,Пагуошское движение учёных,Пъгуошки конференции за наука и световни проблеми,Pugwash Conferences on Science and World Affairs,Pugwashské konference o vědě a světových záležitostech
76,Konferencja Pugwash w Sprawie Nauki i Problemów Światowych,Пагуошскі рух вучоных,Пагвоський рух учених,Пагуошское движение учёных,Пъгуошки конференции за наука и световни проблеми,Pugwash Conferences on Science and World Affairs,Pugwashské konference o vědě a světových záležitostech
77,Międzynarodowy Ruch Czerwonego Krzyża i Czerwonego Półksiężyca,Міжнародны рух Чырвонага Крыжа і Чырвонага Паўмесяца,Міжнародний рух Червоного Хреста і Червоного Півмісяця,Международное движение Красного Креста и Красного Полумесяца,Международно движение на Червения кръст и Червения полумесец,Rdeči križ,Mezinárodní červený kříž
78,Bank Światowy,Сусветны банк,Світовий банк,Всемирный банк,Световна банка,Svetovna banka,Světová banka
79,OPEC,АПЕК,ОПЕК,Организация стран — экспортёров нефти,Организация на страните износителки на петрол,Organizacija držav izvoznic nafte,Organizace zemí vyvážejících ropu
80,Liga Państw Arabskich,Арабская ліга,Ліга арабських держав,Лига арабских государств,Лига на арабските държави,Arabska liga,Liga arabských států
81,Interpol,Інтэрпал,Інтерпол,Интерпол,Интерпол,Interpol,Interpol
82,Parlament Zjednoczonego Królestwa Wielkiej Brytanii i Irlandii Północnej,Парламент Вялікабрытаніі,Парламент Сполученого Королівства,Парламент Великобритании,Парламент на Обединеното кралство,Parlament Združenega kraljestva,Parlament Spojeného království
83,Parlament Zjednoczonego Królestwa Wielkiej Brytanii i Irlandii Północnej,Брытанскі парламент,Парламент Сполученого Королівства,Парламент Великобритании,Парламент на Обединеното кралство,Parlament Združenega kraljestva,Parlament Spojeného království
84,Al-Ka’ida,Аль-Каіда,Аль-Каїда,Аль-Каида,Ал-Каида,Al Kaida,Al-Káida
85,Talibowie,Талібан,Талібан,Талибан,Талибани,Talibani,Tálibán
86,Hezbollah,Хезбала,Хезболла,Хезболла,Хизбула,Hezbolah,Hizballáh
87,Hezbollah,Хезбалах,Хезболла,Хезболла,Хизбула,Hezbolah,Hizballáh
88,Hezbollah,Хізбала,Хезболла,Хезболла,Хизбула,Hezbolah,Hizballáh
89,Hezbollah,Хізбалах,Хезболла,Хезболла,Хизбула,Hezbolah,Hizballáh
90,World Wide Fund for Nature,Сусветны фонд дзікай прыроды,Всесвітній фонд дикої природи,Всемирный фонд дикой природы,Световен фонд за природата,Svetovni sklad za naravo,Světový fond na ochranu přírody
91,Greenpeace,Грынпіс,Грінпіс,Гринпис,Грийнпийс,Greenpeace,Greenpeace
92,Greenpeace,Greenpeace,Грінпіс,Гринпис,Грийнпийс,Greenpeace,Greenpeace
93,BirdLife International,BirdLife International,BirdLife International,BirdLife International,Бърдлайф Интернешънъл,BirdLife International,BirdLife International
94,Światowa Organizacja Handlu,СГА,Світова організація торгівлі,Всемирная торговая организация,Световна търговска организация,Svetovna trgovinska organizacija,Světová obchodní organizace
95,Organizacja Współpracy Gospodarczej i Rozwoju,Арганізацыя эканамічнага супрацоўніцтва і развіцця,Організація економічного співробітництва та розвитку,Организация экономического сотрудничества и развития,Организация за икономическо сътрудничество и развитие,Organizacija za gospodarsko sodelovanje in razvoj,Organizace pro hospodářskou spolupráci a rozvoj
96,Organizacja Współpracy Gospodarczej i Rozwoju,АЭСР,Організація економічного співробітництва та розвитку,Организация экономического сотрудничества и развития,Организация за икономическо сътрудничество и развитие,Organizacija za gospodarsko sodelovanje in razvoj,Organizace pro hospodářskou spolupráci a rozvoj
97,Talibowie,Талібы,Талібан,Талибан,Талибани,Talibani,Tálibán
98,National Academy of Sciences,Нацыянальная акадэмія навук ЗША,Національна академія наук США,Национальная академия наук США,Национална академия на науките на САЩ,Nacionalna akademija znanosti ZDA,Národní akademie věd Spojených států amerických
99,National Academy of Sciences,НАН ЗША,Національна академія наук США,Национальная академия наук США,Национална академия на науките на САЩ,Nacionalna akademija znanosti ZDA,Národní akademie věd Spojených států amerických
100,Moskiewski Uniwersytet Państwowy im. M.W. Łomonosowa,Маскоўскі ўніверсітэт,Московський державний університет імені М. В. Ломоносова,Московский государственный университет,Московски държавен университет,Državna univerza v Moskvi,Lomonosovova univerzita
101,Wspólnota Narodów,Брытанская садружнасць,Співдружність націй,Содружество наций,Общност на нациите,Skupnost narodov,Commonwealth
102,National Geographic Society,National Geographic Society,Національне географічне товариство,Национальное географическое общество,Национално географско дружество,National Geographic Society,National Geographic Society
103,National Geographic Society,Нацыянальнае геаграфічнае таварыства,Національне географічне товариство,Национальное географическое общество,Национално географско дружество,National Geographic Society,National Geographic Society
104,Francuska Akademia Nauk,Французская акадэмія навук,Французька академія наук,Французская академия наук,Френска академия на науките,Francoska akademija znanosti,Francouzská akademie věd
105,WikiLeaks,WikiLeaks,WikiLeaks,WikiLeaks,УикиЛийкс,WikiLeaks,WikiLeaks
106,Rada Nordycka,Паўночны савет,Північна рада,Северный совет,Северен съвет,Nordijski svet,Severská rada
107,Rada Nordycka,Паўночны Савет,Північна рада,Северный совет,Северен съвет,Nordijski svet,Severská rada
108,Massachusetts Institute of Technology,Масачусецкі тэхналагічны інстытут,Массачусетський технологічний інститут,Массачусетский технологический институт,Масачузетски технологичен институт,Tehnološki inštitut Massachusettsa,Massachusettský technologický institut
109,Interpol,Інтэрпол,Інтерпол,Интерпол,Интерпол,Interpol,Interpol
110,NATO,НАТО,НАТО,НАТО,НАТО,NATO,Severoatlantická aliance
111,BBC,BBC,BBC,Би-би-си,Би Би Си,BBC,BBC
112,BBC,British Broadcasting Corporation,BBC,Би-би-си,Би Би Си,BBC,BBC
113,Europejski Trybunał Obrachunkowy,Еўрапейская падліковая палата,Європейський суд аудиторів,Европейская счётная палата,Европейска сметна палата,Evropsko računsko sodišče,Evropský účetní dvůr
114,Europejski Trybunał Obrachunkowy,Еўрапейскі суд аўдытараў,Європейський суд аудиторів,Европейская счётная палата,Европейска сметна палата,Evropsko računsko sodišče,Evropský účetní dvůr
115,Istituto Nazionale di Statistica,Istituto Nazionale di Statistica,Національний інститут статистики Італії,ISTAT,Национален институт по статистика (Италия),Istituto Nazionale di Statistica,Italský národní statistický institut
116,Unia na rzecz Regionu Morza Śródziemnego,Міжземнаморскі Саюз,Середземноморський союз,Союз для Средиземноморья,Средиземноморски съюз,Unija za Sredozemlje,Unie pro Středomoří
117,Światowa Organizacja Zdrowia,Сусветная Арганізацыя Здароўя,Всесвітня організація охорони здоров'я,Всемирная организация здравоохранения,Световна здравна организация,Svetovna zdravstvena organizacija,Světová zdravotnická organizace
