,pl,be,uk,ru,bg,sl,cs
118,Światowa Organizacja Zdrowia,СААЗ,Всесвітня організація охорони здоров'я,Всемирная организация здравоохранения,Световна здравна организация,Svetovna zdravstvena organizacija,Světová zdravotnická organizace
119,Moskiewski Uniwersytet Państwowy im. M.W. Łomonosowa,Маскоўскі універсітэт,Московський державний університет імені М. В. Ломоносова,Московский государственный университет,Московски държавен университет,Državna univerza v Moskvi,Lomonosovova univerzita
120,New York Stock Exchange,Нью-Ёркская фондавая біржа,Нью-Йоркська фондова біржа,Нью-Йоркская фондовая биржа,Нюйоркска фондова борса,Newyorška borza,New York Stock Exchange
121,Międzynarodowa Unia Ochrony Przyrody,Міжнародны саюз аховы прыроды,Міжнародний союз охорони природи,Международный союз охраны природы,Международен съюз за защита на природата,Svetovna zveza za varstvo narave,Mezinárodní svaz ochrany přírody
122,Międzynarodowa Unia Ochrony Przyrody,МСАП,Міжнародний союз охорони природи,Международный союз охраны природы,Международен съюз за защита на природата,Svetovna zveza za varstvo narave,Mezinárodní svaz ochrany přírody
123,Parlament Zjednoczonego Królestwa Wielkiej Brytanii i Irlandii Północnej,Парламент Англіі,Парламент Сполученого Королівства,Парламент Великобритании,Парламент на Обединеното кралство,Parlament Združenega kraljestva,Parlament Spojeného království
124,BBC,Бі-бі-сі,BBC,Би-би-си,Би Би Си,BBC,BBC
125,Departament Obrony Stanów Zjednoczonych,Міністэрства абароны ЗША,Міністерство оборони США,Министерство обороны США,Департамент на отбраната на САЩ,Ministrstvo za obrambo Združenih držav Amerike,Ministerstvo obrany Spojených států amerických
126,FIFA,ФІФА,ФІФА,ФИФА,ФИФА,FIFA,FIFA
127,FIFA,FIFA,ФІФА,ФИФА,ФИФА,FIFA,FIFA
128,Uniwersytet Kalifornijski w Berkeley,Каліфарнійскі ўніверсітэт у Берклі,Університет Каліфорнії (Берклі),Калифорнийский университет в Беркли,Калифорнийски университет – Бъркли,"Univerza Kalifornije, Berkeley",Kalifornská univerzita v Berkeley
129,Aleksiej Mariesjew,Аляксей Пятровіч Марэсьеў,Маресьєв Олексій Петрович,"Маресьев, Алексей Петрович",Алексей Маресиев,Aleksej Petrovič Maresjev,Alexej Petrovič Maresjev
130,Aleksiej Mariesjew,Аляксей Марэсьеў,Маресьєв Олексій Петрович,"Маресьев, Алексей Петрович",Алексей Маресиев,Aleksej Petrovič Maresjev,Alexej Petrovič Maresjev
131,Pretorianie,Прэтарыянская гвардыя,Преторіанська гвардія,Преторианская гвардия,Преторианска гвардия,Pretorijska straža,Pretoriánská garda
132,Pretorianie,Прэтарыянцы,Преторіанська гвардія,Преторианская гвардия,Преторианска гвардия,Pretorijska straža,Pretoriánská garda
133,Europejski Bank Centralny,Еўрапейскі Цэнтральны Банк,Європейський центральний банк,Европейский центральный банк,Европейска централна банка,Evropska centralna banka,Evropská centrální banka
134,Międzynarodowa Unia Chemii Czystej i Stosowanej,ІЮПАК,IUPAC,Международный союз теоретической и прикладной химии,Международен съюз за чиста и приложна химия,Mednarodna zveza za čisto in uporabno kemijo,Mezinárodní unie pro čistou a užitou chemii
135,Austriacka Akademia Nauk,Аўстрыйская акадэмія навук,Австрійська академія наук,Австрийская академия наук,Австрийска академия на науките,Avstrijska akademija znanosti,Rakouská akademie věd
136,Jet Propulsion Laboratory,Лабараторыя рэактыўнага руху,Лабораторія реактивного руху,Лаборатория реактивного движения,Лаборатория за реактивно движение,Laboratorij za reaktivni pogon,Jet Propulsion Laboratory
137,Europejska Agencja Kosmiczna,Еўрапейскае касмічнае агенцтва,Європейське космічне агентство,Европейское космическое агентство,Европейска космическа агенция,Evropska vesoljska agencija,Evropská kosmická agentura
138,Europejska Agencja Kosmiczna,ЕКА,Європейське космічне агентство,Европейское космическое агентство,Европейска космическа агенция,Evropska vesoljska agencija,Evropská kosmická agentura
139,Układ Warszawski,Варшаўскі дагавор,Варшавський договір (1955),Организация Варшавского договора,Варшавски договор,Varšavski pakt,Varšavská smlouva
140,Układ Warszawski,Арганізацыя Варшаўскага дагавора,Варшавський договір (1955),Организация Варшавского договора,Варшавски договор,Varšavski pakt,Varšavská smlouva
141,Unia Narodów Południowoamerykańskich,Саюз паўднёваамерыканскіх нацый,Союз південноамериканських націй,Союз южноамериканских наций,Съюз на южноамериканските нации,Unija južnoameriških držav,Unie jihoamerických národů
142,Unia Narodów Południowoamerykańskich,Дэкларацыя Куска,Союз південноамериканських націй,Союз южноамериканских наций,Съюз на южноамериканските нации,Unija južnoameriških držav,Unie jihoamerických národů
143,Unia Narodów Południowoamerykańskich,UNASUR,Союз південноамериканських націй,Союз южноамериканских наций,Съюз на южноамериканските нации,Unija južnoameriških držav,Unie jihoamerických národů
144,Unia Narodów Południowoamerykańskich,UNASUL,Союз південноамериканських націй,Союз южноамериканских наций,Съюз на южноамериканските нации,Unija južnoameriških držav,Unie jihoamerických národů
145,UEFA,УЕФА,УЄФА,УЕФА,УЕФА,Združenje evropskih nogometnih zvez,UEFA
146,Międzyrządowy Zespół ds. Zmian Klimatu,Міжурадавая група экспертаў па змяненні клімату,Міжурядова група експертів з питань змін клімату,Межправительственная группа экспертов по изменению климата,Междуправителствен панел за климатични промени,Medvladni forum za podnebne spremembe,Mezivládní panel pro změnu klimatu
147,Międzyrządowy Zespół ds. Zmian Klimatu,IPCC,Міжурядова група експертів з питань змін клімату,Межправительственная группа экспертов по изменению климата,Междуправителствен панел за климатични промени,Medvladni forum za podnebne spremembe,Mezivládní panel pro změnu klimatu
148,Międzynarodowa Unia Astronomiczna,Міжнародны Астранамічны Саюз,Міжнародний астрономічний союз,Международный астрономический союз,Международен астрономически съюз,Mednarodna astronomska zveza,Mezinárodní astronomická unie
149,Międzynarodowa Unia Ochrony Przyrody,Сусветны саюз аховы прыроды,Міжнародний союз охорони природи,Международный союз охраны природы,Международен съюз за защита на природата,Svetovna zveza za varstvo narave,Mezinárodní svaz ochrany přírody
150,National Basketball Association,Нацыянальная баскетбольная асацыяцыя,Національна баскетбольна асоціація,Национальная баскетбольная ассоциация,Национална баскетболна асоциация,NBA,National Basketball Association
151,National Basketball Association,NBA,Національна баскетбольна асоціація,Национальная баскетбольная ассоциация,Национална баскетболна асоциация,NBA,National Basketball Association
152,National Basketball Association,НБА,Національна баскетбольна асоціація,Национальная баскетбольная ассоциация,Национална баскетболна асоциация,NBA,National Basketball Association
153,Akademia Francuska,Французская акадэмія,Французька академія,Французская академия,Френска академия,Académie française,Francouzská akademie
154,Akademia Francuska,Académie française,Французька академія,Французская академия,Френска академия,Académie française,Francouzská akademie
155,Akademia Francuska,Французская Каралеўская акадэмія,Французька академія,Французская академия,Френска академия,Académie française,Francouzská akademie
156,Akademia Francuska,Французская Акадэмія,Французька академія,Французская академия,Френска академия,Académie française,Francouzská akademie
157,Al-Ka’ida,Аль-Каеда,Аль-Каїда,Аль-Каида,Ал-Каида,Al Kaida,Al-Káida
158,Wspólnota Narodów,Садружнасць,Співдружність націй,Содружество наций,Общност на нациите,Skupnost narodov,Commonwealth
159,Mensa International,Менса,Mensa International,Менса,Менса,Mensa,Mensa International
160,Organizacja non-profit,Некамерцыйная арганізацыя,Неприбуткова організація,Некоммерческая организация,Организация с нестопанска цел,Neprofitna organizacija,Nezisková organizace
161,Organizacja,Арганізацыя,Організація,Организация,Организация,Organizacija,Organizace
162,Organizacja pozarządowa,Грамадская арганізацыя,Недержавна організація,Общественная организация,Неправителствена организация,Nevladna organizacija,Nestátní nezisková organizace
163,OPEC,"Арганізацыя краін, экспартуючых нафту",ОПЕК,Организация стран — экспортёров нефти,Организация на страните износителки на петрол,Organizacija držav izvoznic nafte,Organizace zemí vyvážejících ropu
164,Organizacja Bezpieczeństwa i Współpracy w Europie,Арганізацыя па бяспецы і супрацоўніцтве ў Еўропе,Організація з безпеки і співробітництва в Європі,Организация по безопасности и сотрудничеству в Европе,Организация за сигурност и сътрудничество в Европа,Organizacija za varnost in sodelovanje v Evropi,Organizace pro bezpečnost a spolupráci v Evropě
165,Organizacja Bezpieczeństwa i Współpracy w Europie,АБСЕ,Організація з безпеки і співробітництва в Європі,Организация по безопасности и сотрудничеству в Европе,Организация за сигурност и сътрудничество в Европа,Organizacija za varnost in sodelovanje v Evropi,Organizace pro bezpečnost a spolupráci v Evropě
166,Karta Narodów Zjednoczonych,Статут Арганізацыі Аб’яднаных Нацый,Статут Організації Об'єднаних Націй,Устав ООН,Харта на Обединените нации,Ustanovna listina Združenih narodov,Charta Spojených národů
167,Wspólnota Państw Portugalskojęzycznych,Садружнасць партугаламоўных краін,Співдружність португаломовних країн,Содружество португалоязычных стран,Общност на португалоезичните държави,Skupnost držav portugalskega jezika,Společenství portugalsky mluvících zemí
168,G20,Група дваццаці,Велика двадцятка,Большая двадцатка,Г-20,G20,G20
169,G20,G20,Велика двадцятка,Большая двадцатка,Г-20,G20,G20
170,Światowa Organizacja Własności Intelektualnej,Сусветная арганізацыя інтэлектуальнай уласнасці,Всесвітня організація інтелектуальної власності,Всемирная организация интеллектуальной собственности,Световна организация за интелектуална собственост,Svetovna organizacija za intelektualno lastnino,Světová organizace duševního vlastnictví
171,Światowa Organizacja Własności Intelektualnej,САІУ,Всесвітня організація інтелектуальної власності,Всемирная организация интеллектуальной собственности,Световна организация за интелектуална собственост,Svetovna organizacija za intelektualno lastnino,Světová organizace duševního vlastnictví
172,G20,Вялікая дваццатка,Велика двадцятка,Большая двадцатка,Г-20,G20,G20
173,Światowy Związek Pocztowy,Сусветны паштовы саюз,Всесвітній поштовий союз,Всемирный почтовый союз,Световен пощенски съюз,Svetovna poštna zveza,Světová poštovní unie
174,Francuska Akademia Nauk,Французская Акадэмія навук,Французька академія наук,Французская академия наук,Френска академия на науките,Francoska akademija znanosti,Francouzská akademie věd
175,Francuska Akademia Nauk,Парыжская Акадэмія навук,Французька академія наук,Французская академия наук,Френска академия на науките,Francoska akademija znanosti,Francouzská akademie věd
176,Moskiewski Uniwersytet Państwowy im. M.W. Łomonosowa,Маскоўскі дзяржаўны ўніверсітэт,Московський державний університет імені М. В. Ломоносова,Московский государственный университет,Московски държавен университет,Državna univerza v Moskvi,Lomonosovova univerzita
177,Grupa Wyszehradzka,Вышаградская група,Вишеградська група,Вишеградская группа,Вишеградска група,Višegrajska skupina,Visegrádská skupina
178,Papieska Akademia Nauk,Папская акадэмія навук,Папська академія наук,Папская академия наук,Папска академия на науките,Papeška akademija znanosti,Papežská akademie věd
179,Układ Warszawski,"Варшаўскі дагавор, 1955",Варшавський договір (1955),Организация Варшавского договора,Варшавски договор,Varšavski pakt,Varšavská smlouva
180,CERN,CERN,CERN,ЦЕРН,Европейска организация за ядрени изследвания,Evropska organizacija za jedrske raziskave,Evropská organizace pro jaderný výzkum
181,Rada Europy,Савет Еўропы,Рада Європи,Совет Европы,Съвет на Европа,Svet Evrope,Rada Evropy
182,Rada Europy,Рада Еўропы,Рада Європи,Совет Европы,Съвет на Европа,Svet Evrope,Rada Evropy
183,Międzynarodowa Organizacja Normalizacyjna,Міжнародная арганізацыя па стандартызацыі,Міжнародна організація зі стандартизації,Международная организация по стандартизации,Международна организация по стандартизация,Mednarodna organizacija za standardizacijo,Mezinárodní organizace pro normalizaci
184,Układ z Schengen,Шэнгенскія пагадненні,Шенгенська угода,Шенгенское соглашение,Шенгенско споразумение,Schengenski sporazum,Schengenská smlouva
185,Bundesrat,Бундэсрат Германіі,Бундесрат (Німеччина),Бундесрат,Бундесрат (Германия),Nemški Bundesrat,Spolková rada (Německo)
186,Massachusetts Institute of Technology,Масачусетскі тэхналагічны інстытут,Массачусетський технологічний інститут,Массачусетский технологический институт,Масачузетски технологичен институт,Tehnološki inštitut Massachusettsa,Massachusettský technologický institut
187,Żandarmeria,Жандармерыя,Жандармерія,Жандармерия,Жандармерия,Žandarmerija,Četnictvo
188,Żandarmeria,Жандар,Жандармерія,Жандармерия,Жандармерия,Žandarmerija,Četnictvo
189,Międzynarodowa Agencja Energii Atomowej,МАГАТЭ,Міжнародне агентство з атомної енергії,Международное агентство по атомной энергии,Международна агенция за атомна енергия,Mednarodna agencija za jedrsko energijo,Mezinárodní agentura pro atomovou energii
190,Układ Warszawski,АВД,Варшавський договір (1955),Организация Варшавского договора,Варшавски договор,Varšavski pakt,Varšavská smlouva
191,Massachusetts Institute of Technology,Масачусетскі інстытут тэхналогій,Массачусетський технологічний інститут,Массачусетский технологический институт,Масачузетски технологичен институт,Tehnološki inštitut Massachusettsa,Massachusettský technologický institut
192,Bank Światowy,World Bank,Світовий банк,Всемирный банк,Световна банка,Svetovna banka,Světová banka
193,Międzynarodowy Fundusz Walutowy,International Monetary Fund,Міжнародний валютний фонд,Международный валютный фонд,Международен валутен фонд,Mednarodni denarni sklad,Mezinárodní měnový fond
194,Organizacja Współpracy Gospodarczej i Rozwoju,OECD,Організація економічного співробітництва та розвитку,Организация экономического сотрудничества и развития,Организация за икономическо сътрудничество и развитие,Organizacija za gospodarsko sodelovanje in razvoj,Organizace pro hospodářskou spolupráci a rozvoj
195,Ruch Państw Niezaangażowanych,Рух недалучэння,Рух неприєднання,Движение неприсоединения,Движение на необвързаните държави,Gibanje neuvrščenih,Hnutí nezúčastněných zemí
196,OPEC,Арганізацыя краін — экспарцёраў нафты,ОПЕК,Организация стран — экспортёров нефти,Организация на страните износителки на петрол,Organizacija držav izvoznic nafte,Organizace zemí vyvážejících ropu
197,Międzynarodowa Unia Astronomiczna,International Astronomical Union,Міжнародний астрономічний союз,Международный астрономический союз,Международен астрономически съюз,Mednarodna astronomska zveza,Mezinárodní astronomická unie
198,BBC,BBC News,BBC,Би-би-си,Би Би Си,BBC,BBC
199,Moskiewski Uniwersytet Państwowy im. M.W. Łomonosowa,МДУ імя М. Ламаносава,Московський державний університет імені М. В. Ломоносова,Московский государственный университет,Московски държавен университет,Državna univerza v Moskvi,Lomonosovova univerzita
200,Bundesrat,"Бундэсрат, Германія",Бундесрат (Німеччина),Бундесрат,Бундесрат (Германия),Nemški Bundesrat,Spolková rada (Německo)
201,Układ Warszawski,Варшаўскі Дагавор,Варшавський договір (1955),Организация Варшавского договора,Варшавски договор,Varšavski pakt,Varšavská smlouva
202,Moskiewski Uniwersytet Państwowy im. M.W. Łomonosowa,Маскоўскі ўніверсітэт імя Ламаносава,Московський державний університет імені М. В. Ломоносова,Московский государственный университет,Московски държавен университет,Državna univerza v Moskvi,Lomonosovova univerzita
203,Rada Gospodarcza i Społeczna ONZ,Эканамічны і Сацыяльны Савет ААН,Економічна і соціальна рада ООН,Экономический и Социальный Совет ООН,Икономически и социален съвет на ООН,Ekonomski in socialni svet,Ekonomická a sociální rada OSN
204,CERN,ЦЕРН,CERN,ЦЕРН,Европейска организация за ядрени изследвания,Evropska organizacija za jedrske raziskave,Evropská organizace pro jaderný výzkum
205,National Academy of Sciences,Нацыянальнай АН ў Вашынгтоне,Національна академія наук США,Национальная академия наук США,Национална академия на науките на САЩ,Nacionalna akademija znanosti ZDA,Národní akademie věd Spojených států amerických
206,Organizacja Współpracy Gospodarczej i Rozwoju,Арганізацыя еўрапейскага эканамічнага супрацоўніцтва,Організація економічного співробітництва та розвитку,Организация экономического сотрудничества и развития,Организация за икономическо сътрудничество и развитие,Organizacija za gospodarsko sodelovanje in razvoj,Organizace pro hospodářskou spolupráci a rozvoj
207,Unia Zachodnioeuropejska,Заходнееўрапейскі саюз,Західноєвропейський союз,Западноевропейский союз,Западноевропейски съюз,Zahodnoevropska unija,Západoevropská unie
208,Sturmabteilung,"Штурмавыя атрады, СА",Штурмові загони,Штурмовые отряды,Щурмабтайлунг,Sturmabteilung,Sturmabteilung
209,Sturmabteilung,Штурмавыя атрады,Штурмові загони,Штурмовые отряды,Щурмабтайлунг,Sturmabteilung,Sturmabteilung
210,Sturmabteilung,Карычневакашульнікі,Штурмові загони,Штурмовые отряды,Щурмабтайлунг,Sturmabteilung,Sturmabteilung
211,Milicja Faszystowska,Чорнакашульнікі,Чорносорочечники,Чернорубашечники,Черни ризи,Črnosrajčniki,Černé košile
212,Milicja Faszystowska,Чорнакашульнік,Чорносорочечники,Чернорубашечники,Черни ризи,Črnosrajčniki,Černé košile
213,Organizacja Państw Amerykańskich,Арганізацыя амерыканскіх дзяржаў,Організація американських держав,Организация американских государств,Организация на американските държави,Organizacija ameriških držav,Organizace amerických států
214,Organizacja Państw Amerykańskich,ААД,Організація американських держав,Организация американских государств,Организация на американските държави,Organizacija ameriških držav,Organizace amerických států
215,Interpol,Interpol,Інтерпол,Интерпол,Интерпол,Interpol,Interpol
216,Biała Róża,Белая ружа (рух),Біла троянда,Белая роза (группа Сопротивления),Бялата роза,Bela vrtnica,Bílá růže
217,Biała Róża,"Белая ружа, група супраціўлення",Біла троянда,Белая роза (группа Сопротивления),Бялата роза,Bela vrtnica,Bílá růže
218,Frakcja Czerwonej Armii,Фракцыя Чырвонай Арміі,Фракція Червоної Армії,Фракция Красной армии,Фракция Червена армия,Frakcija rdeče armade,Frakce Rudé armády
219,Państwo Islamskie,Ісламская дзяржава,Ісламська Держава,Исламское государство,Ислямска държава,Islamska država,Islámský stát
220,Międzynarodowa Unia Chemii Czystej i Stosowanej,IUPAC,IUPAC,Международный союз теоретической и прикладной химии,Международен съюз за чиста и приложна химия,Mednarodna zveza za čisto in uporabno kemijo,Mezinárodní unie pro čistou a užitou chemii
221,Euroazjatycka Unia Gospodarcza,ЕАЭС,Євразійський економічний союз,Евразийский экономический союз,Евразийски икономически съюз,Evrazijska ekonomska unija,Eurasijský ekonomický svaz
222,Euroazjatycka Unia Gospodarcza,Еўразійскі эканамічны саюз,Євразійський економічний союз,Евразийский экономический союз,Евразийски икономически съюз,Evrazijska ekonomska unija,Eurasijský ekonomický svaz
223,Nowojorska Biblioteka Publiczna,Нью-Ёркская публічная бібліятэка,Нью-Йоркська публічна бібліотека,Нью-Йоркская публичная библиотека,Нюйоркска обществена библиотека,Javna knjižnica v New Yorku,New York Public Library
224,Państwo Islamskie,ІДІЛ,Ісламська Держава,Исламское государство,Ислямска държава,Islamska država,Islámský stát
225,Państwo Islamskie,Ісламская Дзяржава,Ісламська Держава,Исламское государство,Ислямска държава,Islamska država,Islámský stát
226,Liga Prizreńska,Прызрэнская ліга,Призренська ліга,Призренская лига,Призренска лига,Prizrenska liga,Prizrenská liga
227,Liga Prizreńska,Прызранская ліга,Призренська ліга,Призренская лига,Призренска лига,Prizrenska liga,Prizrenská liga
228,World Wide Web Consortium,Кансорцыум Сусветнага павуціння,World Wide Web Consortium,Консорциум Всемирной паутины,World Wide Web Consortium,World Wide Web Consortium,World Wide Web Consortium
229,World Wide Web Consortium,W3C,World Wide Web Consortium,Консорциум Всемирной паутины,World Wide Web Consortium,World Wide Web Consortium,World Wide Web Consortium
230,Rada Europejska,Еўрапейскі савет,Європейська рада,Европейский совет,Европейски съвет,Evropski svet,Evropská rada
231,Iluminaci bawarscy,Ілюмінаты,Ілюмінати,Общество баварских иллюминатов,Илюминати,Iluminati,Ilumináti
232,G7 (grupa),Вялікая васьмёрка,G7,Большая семёрка,Г-7,G7,G7
233,Amnesty International,Міжнародная Амністыя,Amnesty International,Amnesty International,Амнести Интернешънъл,Amnesty International,Amnesty International
234,UNESCO,"Арганізацыя ААН па пытаннях адукацыі, навукі і культуры (ЮНЕСКА)",ЮНЕСКО,ЮНЕСКО,ЮНЕСКО,"Organizacija Združenih narodov za izobraževanje, znanost in kulturo",UNESCO
235,Europejska Unia Nadawców,Еўрапейскі вяшчальны саюз,Європейська спілка радіомовлення і телебачення,Европейский вещательный союз,Европейски съюз за радио и телевизия,Evropska radiodifuzna zveza,Evropská vysílací unie
236,Europejska Unia Nadawców,ЕВС,Європейська спілка радіомовлення і телебачення,Европейский вещательный союз,Европейски съюз за радио и телевизия,Evropska radiodifuzna zveza,Evropská vysílací unie
237,Amnesty International,Міжнародная амністыя,Amnesty International,Amnesty International,Амнести Интернешънъл,Amnesty International,Amnesty International
238,Organizacja Bezpieczeństwa i Współpracy w Europie,Арганізацыя па бяспецы і супрацы ў Еўропе,Організація з безпеки і співробітництва в Європі,Организация по безопасности и сотрудничеству в Европе,Организация за сигурност и сътрудничество в Европа,Organizacija za varnost in sodelovanje v Evropi,Organizace pro bezpečnost a spolupráci v Evropě
