,pl,be,uk,ru,bg,sl,cs,en
496,Antigua i Barbuda,Антыгуа і Барбуда,Антигуа і Барбуда,Антигуа и Барбуда,Антигуа и Барбуда,Antigva in Barbuda,Antigua a Barbuda,Antigua and Barbuda
497,Bahrajn,Бахрэйн,Бахрейн,Бахрейн,Бахрейн,Bahrajn,Bahrajn,Bahrain
498,Botswana,Батсвана,Ботсвана,Ботсвана,Ботсвана,Bocvana,Botswana,Botswana
499,Burkina Faso,Буркіна-Фасо,Буркіна-Фасо,Буркина-Фасо,Буркина Фасо,Burkina Faso,Burkina Faso,Burkina Faso
500,Barbados,Барбадас,Барбадос,Барбадос,Барбадос,Barbados,Barbados,Barbados
501,Burundi,Бурундзі,Бурунді,Бурунди,Бурунди,Burundi,Burundi,Burundi
502,Benin,Бенін,Бенін,Бенин,Бенин,Benin,Benin,Benin
503,Haiti,Гаіці,Гаїті,Республика Гаити,Хаити,Haiti,Haiti,Haiti
504,Gabon,Габон,Габон,Габон,Габон,Gabon,Gabon,Gabon
505,Porto,Порту,Порту,Порту,Порто,Porto,Porto,Porto
506,Timor Wschodni,Усходні Тымор,Східний Тимор,Восточный Тимор,Източен Тимор,Vzhodni Timor,Východní Timor,East Timor
507,Antiochia,Антак’я,Антак'я,Антакья,Антакия,Antakya,Antakya,Antakya
508,Jemen,Емен,Ємен,Йемен,Йемен,Jemen,Jemen,Yemen
509,Łódź,Лодзь,Лодзь,Лодзь,Лодз,Lodž,Lodž,Łódź
510,Szczecin,Шчэцін,Щецин,Щецин,Шчечин,Szczecin,Štětín,Szczecin
511,Jaworzno,Явожна,Явожно,Явожно,Явожно,Jaworzno,Jaworzno,Jaworzno
512,Zielona Góra,Зялёна Гура,Зелена Гура,Зелёна-Гура,Жельона Гура,Zielona Góra,Zielona Góra,Zielona Góra
513,Katar,Катар,Катар,Катар,Катар,Katar,Katar,Qatar
514,Cesarstwo Trapezuntu,Трапезундская імперыя,Трапезундська імперія,Трапезундская империя,Трапезундска империя,Trapezundsko cesarstvo,Trapezuntské císařství,Empire of Trebizond
515,Bizancjum,Візантый,Візантій,Византий,Византион,Bizanc,Byzantion,Byzantium
516,Piza,Піза,Піза,Пиза,Пиза,Pisa,Pisa,Pisa
517,Kuwejt,Кувейт,Кувейт,Кувейт,Кувейт,Kuvajt,Kuvajt,Kuwait
518,Woroneż,Варонеж,Воронеж,Воронеж,Воронеж,Voronež,Voroněž,Voronezh
519,Astrachań,Астрахань,Астрахань,Астрахань,Астрахан,Astrahan,Astrachaň,Astrakhan
520,Wołgograd,Валгаград,Волгоград,Волгоград,Волгоград,Volgograd,Volgograd,Volgograd
521,Krasnodar,Краснадар,Краснодар,Краснодар,Краснодар,Krasnodar,Krasnodar,Krasnodar
522,Soczi,Сочы,Сочі,Сочи,Сочи,Soči,Soči,Sochi
523,Royan,Руаян,Руаян,Руайан,Роаян,Royan,Royan,Royan
524,Sicz Zaporoska,Запарожская Сеч,Запорозька Січ,Запорожская Сечь,Запорожка Сеч,Zaporoška Seč,Záporožská Sič,Zaporozhian Sich
525,Azow,Азоў,Азов,Азов,Азов,Azov,Azov,Azov
526,Toruń,Торунь,Торунь,Торунь,Торун,Torunj,Toruň,Toruń
527,Tajpej,Тайбэй,Тайбей,Тайбэй,Тайпе,Tajpej,Tchaj-pej,Taipei
528,Taganrog,Таганрог,Таганрог,Таганрог,Таганрог,Taganrog,Taganrog,Taganrog
529,Rostów nad Donem,Растоў-на-Доне,Ростов-на-Дону,Ростов-на-Дону,Ростов на Дон,Rostov na Donu,Rostov na Donu,Rostov-on-Don
530,Zgierz,Згеж,Згеж,Згеж,Згеж,Zgierz,Zgierz,Zgierz
531,Hetman,Гетман,Гетьман,Гетман,Хетман,Hetman,Hejtman,Hetman
532,Hospodarstwo Mołdawskie,Малдаўскае княства,Молдавське князівство,Молдавское княжество,Княжество Молдова,Kneževina Moldavija,Moldavské knížectví,Principality of Moldavia
533,Saratów,Саратаў,Саратов,Саратов,Саратов,Saratov,Saratov,Saratov
534,Wotkińsk,Воткінск,Воткінськ,Воткинск,Воткинск,Votkinsk,Votkinsk,Votkinsk
535,Sarańsk,Саранск,Саранськ,Саранск,Саранск,Saransk,Saransk,Saransk
536,Andora,Андора-ла-Велья,Андорра-ла-Велья,Андорра-ла-Велья,Андора ла Веля,Andorra la Vella,Andorra la Vella,Andorra la Vella
537,Delhi,Дэлі,Делі,Дели,Делхи,Delhi,Dillí,Delhi
538,Kazań,Казань,Казань,Казань,Казан,Kazan,Kazaň,Kazan
539,Ufa,Уфа,Уфа,Уфа,Уфа,Ufa,Ufa,Ufa
540,Mongolia,Манголія,Монголія,Монголия,Монголия,Mongolija,Mongolsko,Mongolia
541,Laos,Лаос,Лаос,Лаос,Лаос,Laos,Laos,Laos
542,Królestwo Jerozolimskie,Іерусалімскае каралеўства,Єрусалимське королівство,Иерусалимское королевство,Йерусалимско кралство,Jeruzalemsko kraljestvo,Jeruzalémské království,Kingdom of Jerusalem
543,Twer,Цвер,Твер,Тверь,Твер,Tver,Tver,Tver
544,Urugwaj,Уругвай,Уругвай,Уругвай,Уругвай,Urugvaj,Uruguay,Uruguay
545,Paragwaj,Парагвай,Парагвай,Парагвай,Парагвай,Paragvaj,Paraguay,Paraguay
546,Nepal,Непал,Непал,Непал,Непал,Nepal,Nepál,Nepal
547,Nikozja,Нікасія,Нікосія,Никосия,Никозия,Nikozija,Nikósie,Nicosia
548,Wielki głód na Ukrainie,Галадамор,Голодомор в Україні,Голодомор на Украине,Гладомор,Gladomor,Hladomor na Ukrajině,Holodomor
549,Bhutan,Бутан,Бутан,Бутан,Бутан,Butan,Bhútán,Bhutan
550,Zjednoczone Emiraty Arabskie,Аб’яднаныя Арабскія Эміраты,Об'єднані Арабські Емірати,Объединённые Арабские Эмираты,Обединени арабски емирства,Združeni arabski emirati,Spojené arabské emiráty,United Arab Emirates
551,Gujana,Гаяна,Гаяна,Гайана,Гвиана,Gvajana,Guyana,Guyana
552,Surinam,Сурынам,Суринам,Суринам,Суринам,Surinam,Surinam,Suriname
553,Kenia,Кенія,Кенія,Кения,Кения,Kenija,Keňa,Kenya
554,Jidysz,Ідыш,Їдиш,Идиш,Идиш,Jidiš,Jidiš,Yiddish
555,Błagojewgrad,Благаеўград,Благоєвград,Благоевград,Благоевград,Blagoevgrad,Blagoevgrad,Blagoevgrad
556,Plewen,Плевен,Плевен,Плевен,Плевен,Pleven,Pleven,Pleven
557,Łom,Лом,Лом,Лом,Лом,Lom,Lom,Lom
558,Tanzania,Танзанія,Танзанія,Танзания,Танзания,Tanzanija,Tanzanie,Tanzania
559,Mozambik,Мазамбік,Мозамбік,Мозамбик,Мозамбик,Mozambik,Mosambik,Mozambique
560,Zimbabwe,Зімбабвэ,Зімбабве,Зимбабве,Зимбабве,Zimbabve,Zimbabwe,Zimbabwe
561,Zambia,Замбія,Замбія,Замбия,Замбия,Zambija,Zambie,Zambia
562,Uganda,Уганда,Уганда,Уганда,Уганда,Uganda,Uganda,Uganda
563,Warna,Варна,Варна,Варна,Варна,Varna,Varna,Varna
564,Odessa,Адэса,Одеса,Одесса,Одеса,Odesa,Oděsa,Odessa
565,Kamerun,Камерун,Камерун,Камерун,Камерун,Kamerun,Kamerun,Cameroon
566,Kongo,Рэспубліка Конга,Республіка Конго,Республика Конго,Република Конго,Zahodni Kongo,Konžská republika,Republic of the Congo
567,Republika Środkowoafrykańska,Цэнтральна-Афрыканская Рэспубліка,Центральноафриканська Республіка,Центральноафриканская Республика,Централноафриканска република,Srednjeafriška republika,Středoafrická republika,Central African Republic
568,Togliatti,Тальяці,Тольятті,Тольятти,Толиати,Toljati,Toljatti,Tolyatti
569,Cesarstwo Austrii,Аўстрыйская імперыя,Австрійська імперія,Австрийская империя,Австрийска империя,Avstrijsko cesarstvo,Rakouské císařství,Austrian Empire
570,Czad,Чад,Чад,Чад,Чад,Čad,Čad,Chad
571,Niger,Нігер,Нігер,Нигер,Нигер,Niger,Niger,Niger
572,Chanat Krymski,Крымскае ханства,Кримське ханство,Крымское ханство,Кримско ханство,Krimski kanat,Krymský chanát,Crimean Khanate
573,Chanat Astrachański,Астраханскае ханства,Астраханське ханство,Астраханское ханство,Астраханско ханство,Astrahanski kanat,Astrachaňský chanát,Astrakhan Khanate
574,Niżny Nowogród,Ніжні Ноўгарад,Нижній Новгород,Нижний Новгород,Нижни Новгород,Nižni Novgorod,Nižnij Novgorod,Nizhny Novgorod
575,Kolonia,Кёльн,Кельн,Кёльн,Кьолн,Köln,Kolín nad Rýnem,Cologne
576,Hanower,Гановер,Ганновер,Ганновер,Хановер,Hannover,Hannover,Hanover
577,Drezno,Дрэздэн,Дрезден,Дрезден,Дрезден,Dresden,Drážďany,Dresden
578,Norymberga,Нюрнберг,Нюрнберг,Нюрнберг,Нюрнберг,Nürnberg,Norimberk,Nuremberg
579,Brema,Брэмен,Бремен,Бремен,Бремен,Bremen,Brémy,Bremen
580,Thimphu,Тхімпху,Тхімпху,Тхимпху,Тхимпху,Thimphu,Thimbú,Thimphu
581,Nuuk,Нук,Нуук,Нуук,Нуук,Nuuk,Nuuk,Nuuk
582,Tampere,Тамперэ,Тампере,Тампере,Тампере,Tampere,Tampere,Tampere
583,Uppsala,Упсала,Уппсала,Уппсала,Упсала,Uppsala,Uppsala,Uppsala
584,Kandahar,Кандагар,Кандагар,Кандагар,Кандахар,Kandahar,Kandahár,Kandahar
585,Lublin,Люблін,Люблін,Люблин,Люблин,Lublin,Lublin,Lublin
586,Tromsø,Тромсё,Тромсе,Тромсё,Тромсьо,Tromsø,Tromsø,Tromsø
587,Trondheim,Тронхейм,Тронгейм,Тронхейм,Тронхайм,Trondheim,Trondheim,Trondheim
588,Bergen,Берген,Берген,Берген,Берген,Bergen,Bergen,Bergen
589,Odense,Одэнсэ,Оденсе,Оденсе,Оденсе,Odense,Odense,Odense
590,Aarhus,Орхус,Орхус,Орхус,Орхус,Aarhus,Aarhus,Aarhus
591,Tartu,Тарту,Тарту,Тарту,Тарту,Tartu,Tartu,Tartu
592,Samarkanda,Самарканд,Самарканд,Самарканд,Самарканд,Samarkand,Samarkand,Samarkand
593,Oulu,Оўлу,Оулу,Оулу,Оулу,Oulu,Oulu,Oulu
594,Jurmała,Юрмала,Юрмала,Юрмала,Юрмала,Jūrmala,Jūrmala,Jūrmala
595,Buchara,Бухара,Бухара,Бухара,Бухара,Buhara,Buchara,Bukhara
596,Akureyri,Акурэйры,Акурейрі,Акюрейри,Акюрейри,Akureyri,Akureyri,Akureyri
597,Kópavogur,Коўпавагур,Коупавогюр,Коупавогюр,Коупавогюр,Kópavogur,Kópavogur,Kópavogur
598,Hafnarfjörður,Хабнарфіёрдур,Гапнарф'єрдюр,Хабнарфьордюр,Хапнарфьордюр,Hafnarfjörður,Hafnarfjörður,Hafnarfjörður
599,Sarow,Сароў,Саров,Саров,Саров,Sarov,Sarov,Sarov
600,Puszkin,Пушкін,Пушкін,Пушкин,Пушкин,Puškin,Puškin,Alexander Pushkin
601,Graz,Грац,Ґрац,Грац,Грац,Gradec,Štýrský Hradec,Graz
602,Linz,Лінц,Лінц,Линц,Линц,Linz,Linec,Linz
603,Kronsztad,Кранштат,Кронштадт,Кронштадт,Кронщат,Kronštat,Kronštadt,Kronstadt
604,Peterhof,Пецяргоф,Петергоф,Петергоф,Петерхоф,Petergof,Petrodvorec,Petergof
605,Sivas,Сівас,Сівас,Сивас,Сивас,Sivas,Sivas,Sivas
606,Hattusa,Хатуса,Хаттуса,Хаттуса,Хатуша,Hatuša,Chattušaš,Hattusa
607,Safranbolu,Сафранбалу,Сафранболу,Сафранболу,Сафранболу,Safranbolu,Safranbolu,Safranbolu
608,Donieck,Данецк,Донецьк,Донецк,Донецк,Doneck,Doněck,Donetsk
609,Los Angeles,Лос-Анджэлес,Лос-Анджелес,Лос-Анджелес,Лос Анджелис,Los Angeles,Los Angeles,Los Angeles
610,Coventry,Ковентры,Ковентрі,Ковентри,Ковънтри,Coventry,Coventry,Coventry
611,Seattle,Сіэтл,Сіетл,Сиэтл,Сиатъл,Seattle,Seattle,Seattle
612,Grenada,Грэнада,Гренада,Гренада,Гренада,Grenada,Grenada,Grenada
613,Hongkong,Ганконг,Гонконг,Гонконг,Хонконг,Hongkong,Hongkong,Hong Kong
614,Kapsztad,Кейптаўн,Кейптаун,Кейптаун,Кейптаун,Cape Town,Kapské Město,Cape Town
615,Braszów,Брашоў,Брашов,Брашов,Брашов,Brașov,Brašov,Brașov
616,Kioto,Кіёта,Кіото,Киото,Киото,Kjoto,Kjóto,Kyoto
617,Komory,Каморскія Астравы,Коморські Острови,Коморы,Коморски острови,Komori,Komory,Comoros
618,Ulm,Ульм,Ульм,Ульм,Улм,Ulm,Ulm,Ulm
619,Togo,Тога,Того,Того,Того,Togo,Togo,Togo
620,Wuhan,Ухань,Ухань,Ухань,Ухан,Vuhan,Wu-chan,Wuhan
621,Włodzimierz,Уладзімір,Владимир,Владимир,Владимир,Vladimir,Vladimir,Vladimir
622,Kayseri,Кайсеры,Кайсері,Кайсери,Кайсери,Kayseri,Kayseri,Kayseri
623,Lagos,Лагас,Лагос,Лагос,Лагос,Lagos,Lagos,Lagos
624,Saint John’s,Сент-Джонс,Сент-Джонс,Сент-Джонс,Сейнт Джонс,St. John's,Saint John's,St. John's
625,Saint-Pierre i Miquelon,Сен-П’ер і Мікелон,Сен-П'єр і Мікелон,Сен-Пьер и Микелон,Сен Пиер и Микелон,Saint Pierre in Miquelon,Saint Pierre a Miquelon,Saint Pierre and Miquelon
626,San Francisco,Сан-Францыска,Сан-Франциско,Сан-Франциско,Сан Франциско,San Francisco,San Francisco,San Francisco
627,Mikronezja,Федэратыўныя Штаты Мікранезіі,Федеративні Штати Мікронезії,Федеративные Штаты Микронезии,Микронезия,Federativne države Mikronezije,Federativní státy Mikronésie,Micronesia
628,Fidżi,Фіджы,Фіджі,Фиджи,Фиджи,Fidži,Fidži,Fiji
629,Izmir,Ізмір,Ізмір,Измир,Измир,İzmir,Smyrna,İzmir
630,Dili,Дылі,Ділі,Дили,Дили,Dili,Dili,Dili
631,Houston,Х’юстан,Х'юстон,Хьюстон,Хюстън,Houston,Houston,Houston
632,Dodoma,Дадома,Додома,Додома,Додома,Dodoma,Dodoma,Dodoma
633,Bursa,Бурса,Бурса,Бурса,Бурса,Bursa,Bursa,Bursa
634,Jarosław,Яраслаўль,Ярославль,Ярославль,Ярославъл,Jaroslavelj,Jaroslavl,Yaroslavl
635,Chicago,Чыкага,Чикаго,Чикаго,Чикаго,Chicago,Chicago,Chicago
636,Szlisselburg,Шлісельбург,Шліссельбург,Шлиссельбург,Шлиселбург,Šlisselburg,Šlisselburg,Shlisselburg
637,Senegal,Сенегал,Сенегал,Сенегал,Сенегал,Senegal,Senegal,Senegal
638,Keflavík,Кеблавік,Кеплавік,Кеблавик,Кеплавик,Keflavík,Keflavík,Keflavík
639,Katowice,Катавіцы,Катовиці,Катовице,Катовице,Katovice,Katovice,Katowice
640,Tours,Тур,Тур,Тур,Тур,Tours,Tours,Tur
641,Gdynia,Гдыня,Гдиня,Гдыня,Гдиня,Gdynia,Gdyně,Gdynia
642,Opole,Аполе,Ополе,Ополе,Ополе,Opole,Opolí,Opole
643,Olsztyn,Ольштын,Ольштин,Ольштын,Олщин,Olsztyn,Olsztyn,Olsztyn
644,Linia Curzona,Лінія Керзана,Лінія Керзона,Линия Керзона,Линия „Кързън“,Curzonova linija,Curzonova linie,Curzon Line
645,Isfahan,Ісфахан,Ісфаган,Исфахан,Исфахан,Isfahan,Isfahán,Isfahan
646,Wyspy Kokosowe,Какосавыя астравы,Кокосові острови,Кокосовые острова,Кокосови острови,Kokosovi otoki,Kokosové ostrovy,Cocos
647,Lyon,Ліён,Ліон,Лион,Лион,Lyon,Lyon,Lyon
648,Chamonix-Mont-Blanc,Шамані,Шамоні,Шамони-Мон-Блан,Шамони,Chamonix,Chamonix-Mont-Blanc,Chamonix
649,Adana,Адана,Адана,Адана,Адана,Adana,Adana,Adana
650,Gaziantep,Газіянтэп,Газіантеп,Газиантеп,Газиантеп,Gaziantep,Gaziantep,Gaziantep
651,Konya,Конья,Конья,Конья,Кония,Konya,Konya,Konya
652,Reunion,Рэюньён,Реюньйон,Реюньон,Реюнион,Reunion,Réunion,Réunion
653,Salt Lake City,Солт-Лэйк-Сіці,Солт-Лейк-Сіті,Солт-Лейк-Сити,Солт Лейк Сити,Salt Lake City,Salt Lake City,Salt Lake City
654,Galacja,Галатыя,Галатія,Галатия,Галатия,Galatija,Galacie,Galatia
655,Durrës,Дурэс,Дуррес,Дуррес,Драч,Drač,Drač,Durrës
656,Niemiecka Republika Demokratyczna,ГДР,Німецька Демократична Республіка,Германская Демократическая Республика,Германска демократична република,Nemška demokratična republika,Německá demokratická republika,East Germany
657,Pernik,Пернік,Перник,Перник,Перник,Pernik,Pernik,Pernik
658,Falklandy,Фалклендскія астравы,Фолклендські Острови,Фолклендские острова,Фолкландски острови,Falklandski otoki,Falklandy,Falkland Islands
659,Podole,Падолле,Поділля,Подолье,Подолие,Podolje,Podolí,Podolia
660,Iwano-Frankiwsk,Івана-Франкоўск,Івано-Франківськ,Ивано-Франковск,Ивано-Франкивск,Ivano-Frankivsk,Ivano-Frankivsk,Ivano-Frankivsk
661,Addis Abeba,Адыс-Абеба,Аддис-Абеба,Аддис-Абеба,Адис Абеба,Adis Abeba,Addis Abeba,Addis Ababa
662,Gwinea Bissau,Гвінея-Бісау,Гвінея-Бісау,Гвинея-Бисау,Гвинея-Бисау,Gvineja Bissau,Guinea-Bissau,Guinea-Bissau
663,Ławra Peczerska,Кіева-Пячэрская лаўра,Києво-Печерська лавра,Киево-Печерская лавра,Киевско-Печорска лавра,Kijevsko-Pečerska lavra,Kyjevskopečerská lávra,Kyiv Pechersk Lavra
664,Karaman,Караман,Караман,Караман,Караман,Karaman,Karaman,Karaman
665,Edirne,Эдзірне,Едірне,Эдирне,Одрин,Odrin,Edirne,Edirne
666,Mazar-i Szarif,Мазары-Шарыф,Мазарі-Шариф,Мазари-Шариф,Мазари Шариф,Mazar-e Šarif,Mazáre Šeríf,Mazar-i-Sharif
667,Nicea,Ніца,Ніцца,Ницца,Ница,Nica,Nice,Nice
668,Vicenza,Вінчэнца,Віченца,Виченца,Виченца,Vicenza,Vicenza,Vicenza
669,Tarsus,Тарсус,Тарс,Тарсус,Тарс,Tarz,Tarsus,Tarsus
670,Sana,Сана,Сана,Сана,Сана,Sana,San'á,Sanaa
671,Erzurum,Эрзурум,Ерзурум,Эрзурум,Ерзурум,Erzurum,Erzurum,Erzurum
672,Şanlıurfa,Шанлыурфа,Шанлиурфа,Шанлыурфа,Шанлъурфа,Şanlıurfa,Şanlıurfa,Urfa
673,Denizli,Дэнізлі,Денізлі,Денизли,Денизли,Denizli,Denizli,Denizli
674,Diyarbakır,Дыярбакыр,Діярбакир,Диярбакыр,Диарбекир,Diyarbakır,Diyarbakır,Diyarbakır
675,Antalya,Анталья,Анталія,Анталья,Анталия,Antalya,Antalya,Antalya
676,Gandawa,Гент,Гент,Гент,Гент,Gent,Gent,Ghent
677,Isengard,Ізенгард,Ісенґард,Изенгард,Исенгард,Ajzengart,Železný pas,Isengard
678,Gondor,Гондар,Ґондор,Гондор,Гондор,Gondor,Gondor,Gondor
679,Ługańsk,Луганск,Луганськ,Луганск,Луганск,Lugansk,Luhansk,Luhansk
680,Obwód chersoński,Херсонская вобласць,Херсонська область,Херсонская область,Херсонска област,Hersonska oblast,Chersonská oblast,Kherson Oblast
681,Chersoń,Херсон,Херсон,Херсон,Херсон,Herson,Cherson,Kherson
682,Mérida,Мерыда,Мерида,Мерида,Мерида,Mérida,Mérida,Mérida
683,Adelaide,Адэлаіда,Аделаїда,Аделаида,Аделейд,Adelaide,Adelaide,Adelaide
684,Oksford,Оксфард,Оксфорд,Оксфорд,Оксфорд,Oxford,Oxford,Oxford
685,Królestwo Anglii,Каралеўства Англія,Королівство Англія,Королевство Англия,Кралство Англия,Kraljevina Anglija,Anglické království,Kingdom of England
686,Glasgow,Глазга,Глазго,Глазго,Глазгоу,Glasgow,Glasgow,Glasgow
687,Mannheim,Мангейм,Мангайм,Мангейм,Манхайм,Mannheim,Mannheim,Mannheim
688,Tonga,Тонга,Тонга,Тонга,Тонга,Tonga,Tonga,Tonga
689,Al-Ujun,Эль-Аюн,Ель-Аюн,Эль-Аюн,Аюн,Laayoune,Al-´Ajún,Laayoune
690,Gujana Francuska,Французская Гвіяна,Французька Гвіана,Гвиана,Френска Гвиана,Francoska Gvajana,Francouzská Guyana,French Guiana
691,Mońki,Монькі,Моньки,Моньки,Монки,Mońki,Mońki,Mońki
692,Seszele,Сейшэльскія Астравы,Сейшельські Острови,Сейшельские Острова,Сейшели,Sejšeli,Seychely,Seychelles
693,Cuzco,Куска,Куско,Куско,Куско,Cusco,Cuzco,Cusco
694,Borgarnes,Боргарнес,Боргарнес,Боргарнес,Боргарнес,Borgarnes,Borgarnes,Borgarnes
695,Las Vegas,Лас-Вегас,Лас-Вегас,Лас-Вегас,Лас Вегас,Las Vegas,Las Vegas,Las Vegas
696,Pretoria,Прэторыя,Преторія,Претория,Претория,Pretorija,Pretorie,Pretoria
697,Bloemfontein,Блумфантэйн,Блумфонтейн,Блумфонтейн,Блумфонтейн,Bloemfontein,Bloemfontein,Bloemfontein
698,Santa Cruz de Tenerife,Санта-Крус-дэ-Тэнэрыфэ,Санта-Крус-де-Тенерифе,Санта-Крус-де-Тенерифе,Санта Крус де Тенерифе,Santa Cruz de Tenerife,Santa Cruz de Tenerife,Santa Cruz de Tenerife
699,Antyle Holenderskie,Нідэрландскія Антыльскія астравы,Нідерландські Антильські острови,Нидерландские Антильские острова,Нидерландски Антили,Nizozemski Antili,Nizozemské Antily,Netherlands Antilles
700,Bermudy,Бермудскія астравы,Бермудські Острови,Бермудские Острова,Бермудски острови,Bermudi,Bermudy,Bermuda
701,Jamusukro,Ямусукра,Ямусукро,Ямусукро,Ямусукро,Yamoussoukro,Yamoussoukro,Yamoussoukro
702,Bonn,Бон,Бонн,Бонн,Бон,Bonn,Bonn,Bonn
703,Frankfurt nad Odrą,Франкфурт-на-Одэры,Франкфурт-на-Одері,Франкфурт-на-Одере,Франкфурт на Одер,Frankfurt ob Odri,Frankfurt nad Odrou,Frankfurt
704,Moguncja,Майнц,Майнц,Майнц,Майнц,Mainz,Mohuč,Mainz
705,Wiesbaden,Вісбадэн,Вісбаден,Висбаден,Висбаден,Wiesbaden,Wiesbaden,Wiesbaden
706,Erfurt,Эрфурт,Ерфурт,Эрфурт,Ерфурт,Erfurt,Erfurt,Erfurt
707,Osnabrück,Оснабрук,Оснабрюк,Оснабрюк,Оснабрюк,Osnabrück,Osnabrück,Osnabrück
708,Koblencja,Кобленц,Кобленц,Кобленц,Кобленц,Koblenz,Koblenz,Koblenz
709,Marburg,Марбург,Марбург,Марбург,Марбург,Marburg,Marburg,Marburg
710,Magdeburg,Магдэбург,Магдебург,Магдебург,Магдебург,Magdeburg,Magdeburg,Magdeburg
711,Brno,Брно,Брно,Брно,Бърно,Brno,Brno,Brno
712,Tabor,Табар,Табор,Табор,Табор,Tábor,Tábor,Tabor
713,Poczdam,Патсдам,Потсдам,Потсдам,Потсдам,Potsdam,Postupim,Potsdam
714,Wetzlar,Вецлар,Вецлар,Вецлар,Вецлар,Wetzlar,Wetzlar,Wetzlar
715,Bazylea,Базель,Базель,Базель,Базел,Basel,Basilej,Basel
716,Rostock,Ростак,Росток,Росток,Росток,Rostock,Rostock,Rostock
717,Rohan,Рохан,Роган,Рохан,Рохан,Rohan,Rohan,Rohan
718,Stara Ładoga,Старая Ладага,Стара Ладога,Старая Ладога,Стара Ладога,Stara Ladoga,Staraja Ladoga,Staraya Ladoga
719,São Tomé,Сан-Тамэ,Сан-Томе,Сан-Томе,Сао Томе,São Tomé,São Tomé,São Tomé Island
720,Perugia,Перуджа,Перуджа,Перуджа,Перуджа,Perugia,Perugia,Perugia
721,Anguilla,Ангілья,Ангілья,Ангилья,Ангила,Angvila,Anguilla,Anguilla
722,Hiroszima,Хірасіма,Хіросіма,Хиросима,Хирошима,Hirošima,Hirošima,Hiroshima
723,Arusza,Аруша,Аруша,Аруша,Аруша,Aruša,Arusha,Arusha
724,Chichén Itzá,Чычэн-Іца,Чичен-Іца,Чичен-Ица,Чичен Ица,Chichen Itza,Chichén Itzá,Chichen Itza
725,Kercz,Керч,Керч,Керчь,Керч,Kerč,Kerč,Kerch
726,Wieluń,Велюнь,Велюнь,Велюнь,Велюн,Wieluń,Wieluń,Wieluń
727,Gorzów Wielkopolski,Гожаў Велькапольскі,Ґожув-Велькопольський,Гожув-Велькопольски,Гожов Велкополски,Gorzów Wielkopolski,Gorzów Wielkopolski,Gorzów Wielkopolski
728,Al-Bajda,Аль-Байда,Ель-Бейда,Эль-Байда,Ал Байда,Al Bajda,Bajdá,Bayda
729,Makau,Макаа,Макао,Макао,Макао,Macau,Macao,Macau
730,Toledo,Таледа,Толедо,Толедо,Толедо,Toledo,Toledo,Toledo
731,Giza,Гіза,Гіза,Эль-Гиза,Гиза,Giza,Gíza,Giza
732,Luksor,Луксор,Луксор,Луксор,Луксор,Luksor,Luxor,Luxor
733,Malmö,Мальмё,Мальме,Мальмё,Малмьо,Malmö,Malmö,Malmö
734,Fez,Фес,Фес,Фес,Фес,Fes,Fes,Fez
735,Tenochtitlán,Тэначтытлан,Теночтітлан,Теночтитлан,Теночтитлан,Tenochtitlan,Tenochtitlán,Tenochtitlan
736,Osz,Ош,Ош,Ош,Ош,Oš,Oš,OSH
737,Szawle,Шаўляй,Шяуляй,Шяуляй,Шауляй,Šiauliai,Šiauliai,Šiauliai
738,Columbus,Калумбус,Колумбус,Колумбус,Кълъмбъс,Columbus,Columbus,Columbus
