,pl,be,uk,ru,bg,sl,cs,en
993,Częstochowa,Чэнстахова,Ченстохова,Ченстохова,Ченстохова,Čenstohova,Čenstochová,Częstochowa
994,Winterthur,Вінтэртур,Вінтертур,Винтертур,Винтертур,Winterthur,Winterthur,Winterthur
995,Heidelberg,Гайдэльберг,Гайдельберг,Гейдельберг,Хайделберг,Heidelberg,Heidelberg,Heidelberg
996,Stefan Banach,Стэфан Банах,Стефан Банах,"Банах, Стефан",Стефан Банах,Stefan Banach,Stefan Banach,Stefan Banach
997,Teby,Фівы,Фіви,Фивы,Тива,Tebe,Veset,Thebes
998,Opawa,Опава,Опава,Опава,Опава,Opava,Opava,Opava
999,Hildesheim,Гільдэсгайм,Гільдесгайм,Хильдесхайм,Хилдесхайм,Hildesheim,Hildesheim,Hildesheim
1000,Đồng Hới,Дангхоі,Донгхой,Донгхой,Донгхой,Đồng Hới,Dong Hoi,Đồng Hới
1001,Tybinga,Цюбінген,Тюбінген,Тюбинген,Тюбинген,Tübingen,Tübingen,Tübingen
1002,Fryburg Bryzgowijski,Фрайбург,Фрайбург,Фрайбург-им-Брайсгау,Фрайбург,Freiburg im Breisgau,Freiburg im Breisgau,Freiburg im Breisgau
1003,Asuan,Асуан,Асуан,Асуан,Асуан,Asuan,Asuán,Aswan
1004,Salerno,Салерна,Салерно,Салерно,Салерно,Salerno,Salerno,Salerno
1005,Stepanakert,Сцепанакерт,Степанакерт,Степанакерт,Степанакерт,Stepanakert,Stěpanakert,Stepanakert
1006,Carcassonne,Каркасон,Каркассонн,Каркасон,Каркасон,Carcassonne,Carcassonne,Carcassonne
1007,Salamanka,Саламанка,Саламанка,Саламанка,Саламанка,Salamanca,Salamanca,Salamanca
1008,Nanterre,Нантэр,Нантер,Нантер,Нантер,Nanterre,Nanterre,Nanterre
1009,Al-Azizijja,Эль-Азізія,Ель-Азізія,Эль-Азизия,Ал Азизия,Al Azizija,Azízíja,ʽAziziya
1010,Bad Tölz,Бад-Цёльц,Бад-Тельц,Бад-Тёльц,Бад Тьолц,Bad Tölz,Bad Tölz,Bad Tölz
1011,Bayreuth,Байрайт,Байройт,Байройт,Байройт,Bayreuth,Bayreuth,Bayreuth
1012,Memmingen,Мемінген,Меммінген,Мемминген,Меминген,Memmingen,Memmingen,Memmingen
1013,Landshut,Ландсгут,Ландсгут,Ландсхут,Ландсхут,Landshut,Landshut,Landshut
1014,Leuven,Лёвен,Левен,Лёвен,Льовен,Leuven,Lovaň,Leuven
1015,Mons,Монс,Монс,Монс,Монс,Mons,Mons,Mons
1016,Valenciennes,Валансьен,Валансьєнн,Валансьен,Валансиен,Valenciennes,Valenciennes,Valenciennes
1017,Sremski Karlovci,Срэмскі-Карлаўцы,Сремські Карловці,Сремски-Карловци,Сремски Карловци,Sremski Karlovci,Sremski Karlovci,Sremski Karlovci
1018,La Plata,Ла-Плата,Ла-Плата,Ла-Плата,Ла Плата,La Plata,La Plata,Río de la Plata
1019,Mesyna,Месіна,Мессіна,Мессина,Месина,Messina,Messina,Messina
1020,San Salvador de Jujuy,Сан-Сальвадор-дэ-Жужуй,Сан-Сальвадор-де-Жужуй,Сан-Сальвадор-де-Жужуй,Сан Салвадор де Хухуй,San Salvador de Jujuy,San Salvador de Jujuy,San Salvador de Jujuy
1021,Krasław,Краслава,Краслава,Краслава,Краслава,Krāslava,Krāslava,Krāslava
1022,Palma,Пальма-дэ-Мальёрка,Пальма,Пальма,Палма де Майорка,Palma de Mallorca,Palma de Mallorca,Palma de Mallorca
1023,Laon,Лан,Лан,Лан,Лан,Laon,Laon,Laon
1024,Wolfsburg,Вольфсбург,Вольфсбург,Вольфсбург,Волфсбург,Wolfsburg,Wolfsburg,Wolfsburg
1025,Limburg an der Lahn,Лімбург-на-Лане,Лімбург-ан-дер-Лан,Лимбург-ан-дер-Лан,Лимбург ан дер Лан,Limburg ob Lahnu,Limburg an der Lahn,Limburg an der Lahn
1026,Chimki,Хімкі,Хімки,Химки,Химки,Himki,Chimki,Khimki
1027,Bałaszycha,Балашыха,Балашиха,Балашиха,Балашиха,Balašiha,Balašicha,Balashikha
1028,Niepodległe Państwo Chorwackie,Незалежная Дзяржава Харватыя,Незалежна Держава Хорватія,Независимое государство Хорватия,Независима хърватска държава,Neodvisna država Hrvaška,Nezávislý stát Chorvatsko,Independent State of Croatia
1029,Pau,По,По,По,По,Pau,Pau,Po
1030,Księstwo Warszawskie,Герцагства Варшаўскае,Варшавське герцогство,Варшавское герцогство,Варшавско херцогство,Vojvodina Varšava,Varšavské knížectví,Duchy of Warsaw
1031,Ankona,Анкона,Анкона,Анкона,Анкона,Ancona,Ancona,Ancona
1032,Boulogne-sur-Mer,Булонь-сюр-Мэр,Булонь-сюр-Мер,Булонь-сюр-Мер,Булон сюр Мер,Boulogne-sur-Mer,Boulogne-sur-Mer,Boulogne-sur-Mer
1033,A Coruña,Ла-Карунья,Ла-Корунья,Ла-Корунья,Ла Коруня,A Coruña,A Coruña,A Coruña
1034,Ourense,Арэнсэ,Оренсе,Оренсе,Оренсе,Ourense,Ourense,Ourense
1035,Nagano,Нагана,Наґано,Нагано,Нагано,Nagano,Nagano,Nagano Prefecture
1036,Albertville,Альбервіль,Альбервіль,Альбервиль,Албервил,Albertville,Albertville,Albertville
1037,Baltimore,Балтымар,Балтимор,Балтимор,Балтимор,Baltimore,Baltimore,Baltimore
1038,Mariupol,Марыупаль,Маріуполь,Мариуполь,Мариупол,Mariupol,Mariupol,Mariupol
1039,Kadyks,Кадыс,Кадіс,Кадис,Кадис,Cádiz,Cádiz,Cádiz
1040,Narbona,Нарбона,Нарбонн,Нарбон,Нарбон,Narbonne,Narbonne,Narbonne
1041,Huesca,Уэска,Уеска,Уэска,Уеска,Huesca,Huesca,Huesca
1042,Segowia,Сеговія,Сеговія,Сеговия,Сеговия,Segovia,Segovia,Segovia
1043,Almería,Альмерыя,Альмерія,Альмерия,Алмерия,Almeria,Almería,Almería
1044,Karaiby,Карыбскія астравы,Кариби,Карибы,Карибски регион,Karibi,Karibik,Caribbean
1045,Zjednoczona Republika Arabska,Аб’яднаная Арабская Рэспубліка,Об'єднана Арабська Республіка,Объединённая Арабская Республика,Обединена арабска република,Združena arabska republika,Sjednocená arabská republika,United Arab Republic
1046,Rodos,Родас,Родос,Родос,Родос,Rodos,Rhodos,Rhodes
1047,Ostrawa,Острава,Острава,Острава,Острава,Ostrava,Ostrava,Ostrava
1048,Chersonez Taurydzki,Херсанес Таўрычаскі,Херсонес Таврійський,Херсонес Таврический,Херсонес Таврически,Herson,Chersonésos,Chersonesus
1049,Třebíč,Тршэбіч,Тршебич,Тршебич,Тршебич,Třebíč,Třebíč,Třebíč
1050,Ołomuniec,Оламаўц,Оломоуць,Оломоуц,Оломоуц,Olomuc,Olomouc,Olomouc
1051,Quedlinburg,Кведлінбург,Кведлінбург,Кведлинбург,Кведлинбург,Quedlinburg,Quedlinburg,Quedlinburg
1052,Bajonna,Баёна,Байонна,Байонна,Байон,Bayonne,Bayonne,Bayonne
1053,Wagharszapat,Вагаршапат,Вагаршапат,Вагаршапат,Вагаршапат,Ečmiadzin,Vagharšapat,Vagharshapat
1054,San Diego,Сан-Дыега,Сан-Дієго,Сан-Диего,Сан Диего,San Diego,San Diego,San Diego
1055,Longyearbyen,Лонгйір,Лонг'їр,Лонгйир,Лонгирбюен,Longyearbyen,Longyearbyen,Longyearbyen
1056,Tyr,Тыр,Сур,Сур,Тир,Tir,Týr,Tyre
1057,Byblos,Бібл,Бібл,Библ,Библос,Biblos,Byblos,Byblos
1058,Sydon,Сайда,Сайда,Сайда,Сайда,Sidon,Sidón,Sidon
1059,Dubna,Дубна,Дубна,Дубна,Дубна,Dubna,Dubna,Dubna
1060,León,Леон,Леон,Леон,Леон,León,León,Leon
1061,Stary Oskoł,Стары Аскол,Старий Оскол,Старый Оскол,Стари Оскол,Stari Oskol,Staryj Oskol,Stary Oskol
1062,Rybińsk,Рыбінск,Рибинськ,Рыбинск,Рибинск,Ribinsk,Rybinsk,Rybinsk
1063,Daniłow,Данілаў,Данилов,Данилов,Данилов,Danilov,Danilov,Danilov
1064,Lubim,Любім,Любим,Любим,Любим,Ljubim,Ljubim,Lyubim
1065,Myszkin,Мышкін,Мишкін,Мышкин,Мишкин,Miškin,Myškin,Myshkin
1066,Sint-Truiden,Сінт-Тройдэн,Сінт-Трейден,Синт-Трёйден,Синт Тройден,Sint-Truiden,Sint-Truiden,Sint-Truiden
1067,Lugo,Луга,Луго,Луго,Луго,Lugo,Lugo,Lugo
1068,Pawia,Павія,Павія,Павия,Павия,Pavia,Pavia,Pavia
1069,Lugano,Лугана,Лугано,Лугано,Лугано,Lugano,Lugano,Lugano
1070,Anagni,Ананьі,Ананьї,Ананьи,Анани,Anagni,Anagni,Anagni
1071,Cincinnati,Цынцынаці,Цинциннаті,Цинциннати,Синсинати,Cincinnati,Cincinnati,Cincinnati
1072,El Paso,Эль-Паса,Ель-Пасо,Эль-Пасо,Ел Пасо,El Paso,El Paso,El Paso
1073,San Antonio,Сан-Антоніа,Сан-Антоніо,Сан-Антонио,Сан Антонио,San Antonio,San Antonio,San Antonio
1074,Louisville,Луісвіл,Луїсвілл,Луисвилл,Луисвил,Louisville,Louisville,Louisville
1075,Sacramento,Сакрамента,Сакраменто,Сакраменто,Сакраменто,Sacramento,Sacramento,Sacramento
1076,Tulsa,Талса,Талса,Талса,Тълса,Tulsa,Tulsa,Tulsa
1077,Colorado Springs,Каларада-Спрынгс,Колорадо-Спрінгс,Колорадо-Спрингс,Колорадо Спрингс,Colorado Springs,Colorado Springs,Colorado Springs
1078,Wichita,Уічыта,Вічита,Уичито,Уичита,Wichita,Wichita,Wichita
1079,Long Beach,Лонг-Біч,Лонг-Біч,Лонг-Бич,Лонг Бийч,Long Beach,Long Beach,Long Beach
1080,Fresno,Фрэсна,Фресно,Фресно,Фресно,Fresno,Fresno,Fresno
1081,Oakland,Окленд,Окленд,Окленд,Оукланд,Oakland,Oakland,Auckland
1082,Mandżukuo,Маньчжоу-го,Маньчжурська держава,Маньчжоу-Го,Манджоу-Го,Mandžukuo,Mandžukuo,Manchukuo
1083,Carrara,Карара,Каррара,Каррара,Карара,Carrara,Carrara,Carrara
1084,Beaune,Бон,Бон,Бон,Бон,Beaune,Beaune,Bonn
1085,Tripoli,Трыпаліс,Триполі,Триполис,Триполи,Tripoli,Tripolis,Tripoli
1086,Chiwa,Хіва,Хіва,Хива,Хива,Hiva,Chiva,Khiva
1087,Davos,Давос,Давос,Давос,Давос,Davos,Davos,Davos
1088,Atlanta,Атланта,Атланта,Атланта,Атланта,Atlanta,Atlanta,Atlanta
1089,Cleveland,Кліўленд,Клівленд,Кливленд,Кливланд,Cleveland,Cleveland,Cleveland
1090,Gary,Гэры,Гері,Гэри,Гери,Gary,Gary,Gary
1091,Kaszan,Кашан,Кашан,Кашан,Кашан,Kašan,Kášán,Kashan
1092,Lubeka,Любек,Любек,Любек,Любек,Lübeck,Lübeck,Lübeck
1093,Bouillon,Буён,Буйон,Буйон,Буйон,Bouillon,Bouillon,Bouillon
1094,Vercelli,Верчэлі,Верчеллі,Верчелли,Верчели,Vercelli,Vercelli,Vercelli
1095,Mohendżo Daro,Махенджа-Дара,Мохенджо-Даро,Мохенджо-Даро,Мохенджо-Даро,Mohendžo-daro,Mohendžodaro,Mohenjo-daro
1096,Hameln,Гамельн,Гамельн,Хамельн,Хамелн,Hameln,Hameln,Hamelin
1097,Skradin,Скрадзін,Скрадин,Скрадин,Скрадин,Skradin,Skradin,Skradin
1098,Cardiff,Кардыф,Кардіфф,Кардифф,Кардиф,Cardiff,Cardiff,Cardiff
1099,"Wyspa Świętej Heleny, Wyspa Wniebowstąpienia i Tristan da Cunha","Астравы Святой Алены, Ушэсця і Трыстан-да-Кунья","Острови Святої Єлени, Вознесіння і Тристан-да-Кунья","Острова Святой Елены, Вознесения и Тристан-да-Кунья","Света Елена, Възнесение и Тристан да Куня",Sveta Helena,"Svatá Helena, Ascension a Tristan da Cunha",Saint Helena
1100,Prut,Прут,Прут,Прут,Прут,Prut,Prut,Prut
1101,Canterbury,Кентэрберы,Кентербері,Кентербери,Кентърбъри,Canterbury,Canterbury,Canterbury
1102,Kerman,Керман,Керман,Керман,Керман,Kerman,Kermán,Kerman
1103,Cremona,Крэмона,Кремона,Кремона,Кремона,Cremona,Cremona,Cremona
1104,Urbino,Урбіна,Урбіно,Урбино,Урбино,Urbino,Urbino,Urbino
1105,Arezzo,Арэца,Ареццо,Ареццо,Арецо,Arezzo,Arezzo,Arezzo
1106,Krzemieńczuk,Крэмэнчук,Кременчук,Кременчуг,Кременчук,Kremenčuk,Kremenčuk,Kremenchuk
1107,Kluż-Napoka,Клуж-Напока,Клуж-Напока,Клуж-Напока,Клуж-Напока,Cluj-Napoca,Kluž,Cluj-Napoca
1108,Szekszárd,Сексард,Сексард,Сексард,Сексард,Szekszárd,Szekszárd,Szekszárd
1109,Nyíregyháza,Ньірэдзьхаза,Ньїредьгаза,Ньиредьхаза,Ниредхаза,Nyíregyháza,Nyíregyháza,Nyíregyháza
1110,Győr,Дзьёр,Дьєр,Дьёр,Дьор,Gjur,Győr,Győr
1111,Ingolstadt,Інгальштат,Інгольштадт,Ингольштадт,Инголщат,Ingolstadt,Ingolstadt,Ingolstadt
1112,Komárom,Комарам,Комаром,Комаром,Комаром,Komárom,Komárom,Komárom
1113,Bačka Palanka,Бачка-Паланка,Бачка-Паланка,Бачка-Паланка,Бачка паланка,Bačka Palanka,Bačka Palanka,Bačka Palanka
1114,Vukovar,Вукавар,Вуковар,Вуковар,Вуковар,Vukovar,Vukovar,Vukovar
1115,Mohacz,Мохач,Мохач,Мохач,Мохач,Mohač,Moháč,Mohács
1116,Rusłana Łyżyczko,Руслана,Лижичко Руслана Степанівна,"Лыжичко, Руслана Степановна",Руслана Лижичко,Ruslana,Ruslana,Ruslana
1117,Rabaul,Рабаул,Рабаул,Рабаул,Рабаул,Rabaul,Rabaul,Rabaul
1118,Cahors,Каор,Каор,Каор,Каор,Cahors,Cahors,Cahors
1119,Portland,Портленд,Портленд,Портленд,Портланд,Portland,Portland,Portland
1120,Virginia Beach,Вірджынія-Біч,Вірджинія-Біч,Верджиния-Бич,Вирджиния Бийч,Virginia Beach,Virginia Beach,Virginia Beach
1121,Kansas City,Канзас-Сіці,Канзас-Сіті,Канзас-Сити,Канзас Сити,Kansas City,Kansas City,Kansas City
1122,Albany,Олбані,Олбані,Олбани,Олбани,Albany,Albany,Albany
1123,Miami,Маямі,Маямі,Майами,Маями,Miami,Miami,Miami
1124,Wyspa Aleksandra,Зямля Аляксандра I,Земля Олександра I,Земля Александра I,Земя Александър I,Aleksandrov otok,Ostrov Alexandra I.,Alexander Island
1125,Santa Marta,Санта-Марта,Санта-Марта,Санта-Марта,Санта Марта,Santa Marta,Santa Marta,Santa Marta
1126,Iwanowo,Іванава,Іваново,Иваново,Иваново,Ivanovo,Ivanovo,Ivanovo
1127,Świnoujście,Свінауйсце,Свіноуйсьце,Свиноуйсьце,Швиноуйшче,Świnoujście,Svinoústí,Świnoujście
1128,Hims,Хомс,Хомс,Хомс,Хомс,Homs,Homs,Homs
1129,Aleppo,Халеб,Алеппо,Алеппо,Халеб,Alep,Aleppo,Aleppo
1130,Segedyn,Сегед,Сегед,Сегед,Сегед,Szeged,Segedín,Szeged
1131,Tyryns,Тырынф,Тиринф,Тиринф,Тиринт,Tirint,Tíryns,Tiryns
1132,Saint-Étienne,Сент-Эцьен,Сент-Етьєн,Сент-Этьен,Сент Етиен,Saint-Étienne,Saint-Étienne,Saint-Étienne
1133,Mechelen,Мехелен,Мехелен,Мехелен,Мехелен,Mechelen,Mechelen,Mechelen
1134,Sybin,Сібіу,Сібіу,Сибиу,Сибиу,Sibiu,Sibiu,Sibiu
1135,Silistra,Сілістра,Сілістра,Силистра,Силистра,Silistra,Silistra,Silistra
1136,Xi’an,Сіянь,Сіань,Сиань,Сиан,Šjan,Si-an,Xi'an
1137,Bath,Бат,Бат,Бат,Бат,Bath,Bath,Bath
1138,Nottingham,Нотынгем,Ноттінгем,Ноттингем,Нотингам,Nottingham,Nottingham,Nottingham
1139,Amboise,Амбуаз,Амбуаз,Амбуаз,Амбоаз,Amboise,Amboise,Amboise
1140,Pergamon,Пергам,Пергам,Пергам,Пергам,Pergamon,Pergamon,Pergamon
1141,Zamek Palanka,Паланак,Замок Паланок,Паланок,Паланок,Grad Palanok,Palanok,Palanok Castle
1142,Funafuti,Фунафуці,Фунафуті,Фунафути,Фунафути,Funafuti,Funafuti,Funafuti
1143,Samaria,Самарыя,Самарія,Самария,Самария,Samarija,Samařsko,Samaria
1144,Szolnok,Сольнак,Сольнок,Сольнок,Солнок,Szolnok,Szolnok,Szolnok
1145,Szombathely,Сомбатхей,Сомбатгей,Сомбатхей,Сомбатхей,Sombotel,Szombathely,Szombathely
1146,Galle,Гале,Ґалле,Галле,Гале,Galle,Galle,Galle
1147,Kandy,Канды,Канді,Канди,Канди,Kandi,Kandy,Kandy
1148,Spa,Спа,Спа,Спа,Спа,Spa,Spa,Spa
1149,Kieżmark,Кежмарак,Кежмарок,Кежмарок,Кежмарок,Kežmarok,Kežmarok,Kežmarok
1150,Pistoia,Пістоя,Пістоя,Пистоя,Пистоя,Pistoia,Pistoia,Pistoia
1151,Foggia,Фоджа,Фоджа,Фоджа,Фоджа,Foggia,Foggia,Foggia
1152,Stara Zagora,Стара-Загора,Стара Загора,Стара-Загора,Стара Загора,Stara Zagora,Stara Zagora,Stara Zagora
1153,Hvar,Хвар,Хвар,Хвар,Хвар,Hvar,Hvar,Hvar
1154,Małe Antyle,Малыя Антыльскія астравы,Малі Антильські острови,Малые Антильские острова,Малки Антили,Mali Antili,Malé Antily,Lesser Antilles
1155,Sławutycz,Славутыч,Славутич,Славутич,Славутич,Slavutič,Slavutyč,Slavutych
1156,Stratford-upon-Avon,Стратфард-он-Эйван,Стратфорд-апон-Ейвон,Стратфорд-апон-Эйвон,Стратфорд на Ейвън,Stratford-upon-Avon,Stratford nad Avonou,Stratford-upon-Avon
1157,Delft,Дэлфт,Делфт,Делфт,Делфт,Delft,Delft,Delft
1158,Roseau,Разо,Розо,Розо,Розо,Roseau,Roseau,Roseau
1159,Medellín,Медэльін,Медельїн,Медельин,Меделин,Medellín,Medellín,Medellín
1160,Suczawa,Сучава,Сучава,Сучава,Сучава,Suceava,Suceava,Suceava
1161,Safakis,Сфакс,Сфакс,Сфакс,Сфакс,Sfax,Sfax,Sfax
1162,Semej,Семей,Семей,Семей,Семей,Semipalatinsk,Semej,Semey
1163,Sokolov,Сокалаў,Соколов,Соколов,Соколов,Sokolov,Sokolov,Sokolov
1164,Bytom,Бытам,Битом,Бытом,Битом,Bytom,Bytom,Bytom
1165,Zatoka Alaska,Аляска,Аляска,Аляска,Аляски залив,Aljaški zaliv,Aljašský záliv,Gulf of Alaska
1166,Memfis,Мемфіс,Мемфіс,Мемфис,Мемфис,Memfis,Mennofer,Memphis
1167,Krk,Крк,Крк,Крк,Крък,Krk,Krk,Krk
1168,St. Gallen,Санкт-Гален,Санкт-Галлен,Санкт-Галлен,Санкт Гален,St. Gallen,St. Gallen,St. Gallen
1169,Kiruna,Кіруна,Кіруна,Кируна,Кируна,Kiruna,Kiruna,Kiruna
1170,Pusan,Пусан,Пусан,Пусан,Пусан,Pusan,Pusan,Busan
1171,Aberdeen,Абердзін,Абердин,Абердин,Абърдийн,Aberdeen,Aberdeen,Aberdeen
1172,Jacksonville,Джэксанвіл,Джексонвілл,Джэксонвилл,Джаксънвил,Jacksonville,Jacksonville,Jacksonville
1173,Cesarstwo Nicejskie,Нікейская імперыя,Нікейська імперія,Никейская империя,Никейска империя,Nikejsko cesarstvo,Nikájské císařství,Empire of Nicaea
1174,Riszon le-Cijjon,Рышон-ле-Цыён,Рішон-ле-Ціон,Ришон-ле-Цион,Ришон ле Цион,Rishon LeZion,Rišon le-Cijon,Rishon LeZion
1175,Bristol,Брысталь,Бристоль,Бристоль,Бристъл,Bristol,Bristol,Bristol
1176,Trujillo,Трухілья,Трухільйо,Трухильо,Трухильо,Trujillo,Trujillo,Trujillo
1177,Państwo frankijskie,Франкская дзяржава,Франкське королівство,Франкское государство,Франкска империя,Frankovsko cesarstvo,Franská říše,Francia
1178,La Rochelle,Ла-Рашэль,Ла-Рошель,Ла-Рошель,Ла Рошел,La Rochelle,La Rochelle,La Rochelle
1179,Chaskowo,Хаскава,Хасково,Хасково,Хасково,Haskovo,Chaskovo,Haskovo
1180,Irbid,Ірбід,Ірбід,Ирбид,Ирбид,Irbid,Irbid,Irbid
1181,Arequipa,Арэкіпа,Арекіпа,Арекипа,Арекипа,Arequipa,Arequipa,Arequipa
1182,Klagenfurt am Wörthersee,Клагенфурт,Клагенфурт-ам-Вертерзе,Клагенфурт-ам-Вёртерзе,Клагенфурт,Celovec,Klagenfurt am Wörthersee,Klagenfurt
1183,Sisak,Сісак,Сисак,Сисак,Сисак,Sisek,Sisak,Sisak
1184,Varaždin,Вараждзін,Вараждин,Вараждин,Вараждин,Varaždin,Varaždín,Varaždin
1185,Bandung,Бандунг,Бандунґ,Бандунг,Бандунг,Bandung,Bandung,Bandung
1186,Język romski,Цыганская мова,Циганська мова,Цыганский язык,Цигански език,Romščina,Romština,Romani language
1187,Boryspol,Барыспіль,Бориспіль,Борисполь,Бориспил,Borispol,Boryspil,Boryspil
1188,Szibam,Шыбам,Шибам,Шибам,Шибам,Šibam,Šibám,Shibam
1189,Tucson,Тусан,Тусон,Тусон,Тусон,Tucson,Tucson,Tucson
1190,Argos,Аргас,Аргос,Аргос,Аргос,Argos,Argos,Argos
1191,Berkeley,"Берклі, Каліфорнія",Берклі,Беркли,Бъркли,Berkeley,Berkeley,Berkeley
1192,Priene,Прыена,Прієна,Приена,Приене,Priena,Priéné,Priene
1193,Gabrowo,Габрава,Габрово,Габрово,Габрово,Gabrovo,Gabrovo,Gabrovo
1194,Miasta w Serbii,Гарады Сербіі,Міста Сербії,Города Сербии,Градове в Сърбия,Seznam mest v Srbiji,Seznam měst v Srbsku,List of cities in Serbia
1195,Lidia,Лідыя,Лідія,Лидия,Лидия,Lidija,Lýdie,Lydia
1196,Sardes,Сарды,Сарди,Сарды,Сарди,Sarde,Sardy,Sardis
1197,Salta,Сальта,Сальта,Сальта,Салта,Salta,Salta,Salta
1198,Frygia,Фрыгія,Фригія,Фригия,Фригия,Frigija,Frýgie,Phrygia
1199,Sighișoara,Сігішаара,Сігішоара,Сигишоара,Сигишоара,Sighișoara,Sighișoara,Sighișoara
1200,Delfy,Дэльфы,Дельфи,Дельфы,Делфи,Delfi,Delfy,Delphi
1201,Kalmar,"Кальмар, Швецыя",Кальмар,Кальмар,Калмар,Kalmar,Kalmar,Squid
1202,Växjö,Векшэ,Векше,Векшё,Векшьо,Växjö,Växjö,Växjö
1203,Birka,Бірка,Бірка,Бирка,Бирка,Birka,Birka,Birka
1204,Timișoara,Тымішаара,Тімішоара,Тимишоара,Тимишоара,Temišvar,Temešvár,Timișoara
1205,Bitynia,Віфінія,Віфінія,Вифиния,Витиния,Bitinija,Bithýnie,Bithynia
1206,Valence,Валанс,Валанс,Валанс,Валанс,Valence,Valence,Valence
1207,León,"Леон, Гуанахуата",Леон,Леон-де-лос-Альдама,Леон,León,León,Leon
1208,Villeurbanne,Віёрбан,Віллербанн,Вийёрбан,Вильорбан,Villeurbanne,Villeurbanne,Villeurbanne
1209,Królestwo Nawarry,Каралеўства Навара,Королівство Наварра,Наварра,Кралство Навара,Kraljevina Navarra,Navarrské království,Kingdom of Navarre
1210,Język gagauski,Гагаузская мова,Гагаузька мова,Гагаузский язык,Гагаузки език,Gagauščina,Gagauzština,Gagauz language
1211,Wolne Terytorium,Вольная тэрыторыя,Вільна територія,Вольная территория,Свободна територия,Svobodni teritorij,Svobodné území,Makhnovshchina
1212,Calais,Кале,Кале,Кале,Кале,Calais,Calais,Kale
1213,Państwa krzyżowe,Дзяржавы крыжакоў,Держави хрестоносців,Государства крестоносцев,Кръстоносна държава,Križarske države,Křižácké státy,Crusader states
1214,Livorno,Ліворна,Ліворно,Ливорно,Ливорно,Livorno,Livorno,Livorno
1215,Kotlina Panońska,Сярэднедунайская нізіна,Тисо-Дунайська низовина,Среднедунайская низменность,Среднодунавска низина,Panonska nižina,Panonská pánev,Pannonian Basin
1216,Wielka Nizina Węgierska,Альфёльд,Великий Альфельд,Альфёльд,Алфьолд,Velika madžarska nižina,Velká dunajská nížina,Great Hungarian Plain
1217,Celle,Цэле,Целле,Целле,Целе,Celle,Celle,Celle
1218,Nagasaki,Нагасакі,Нагасакі,Нагасаки,Нагасаки,Nagasaki,Nagasaki,Nagasaki
1219,Traktat w Trianon,Трыянонскі дагавор,Тріанонський договір,Трианонский договор,Трианонски договор,Trianonska mirovna pogodba,Trianonská smlouva,Treaty of Trianon
1220,Tebriz,Тэбрыз,Тебриз,Тебриз,Тебриз,Tabriz,Tabríz,Tabriz
1221,Gloucester,Глостэр,Глостер,Глостер,Глостър,Gloucester,Gloucester,Gloucester
1222,Saitama,Сайтама,Сайтама,Сайтама,Сайтама,Saitama,Saitama,Saitama
1223,Czerwony Las,Руды лес,Рудий ліс,Рыжий лес,Червена гора,Rdeči gozd,Rudý les,Vourinos
1224,Kweta,Квета,Кветта,Кветта,Куета,Quetta,Kvéta,Quetta
1225,Język krymskotatarski,Крымскататарская мова,Кримськотатарська мова,Крымскотатарский язык,Кримскотатарски език,Krimska tatarščina,Krymská tatarština,Crimean Tatar language
1226,Aquincum,Аквінкум,Аквінкум,Аквинк,Аквинкум,Akvinkum,Aquincum,Aquincum
1227,Xining,Сінін,Сінін,Синин,Синин,Šining,Si-ning,Xining
